tweet_text,tweet_id,user_name,user_screen_name,user_location,user_description,user_follower_count,user_friends_count,user_listed_count,user_statuses_count,user_favourites_count,user_verified,user_default_profile_image,user_default_profile,user_protected,user_created_at
b'\\u0b87\\u0ba8\\u0bcd\\u0ba4\\u0bbf\\u0baf \\u0b9a\\u0bc1\\u0ba4\\u0ba8\\u0bcd\\u0ba4\\u0bbf\\u0bb0\\u0baa\\u0bcd \\u0baa\\u0bcb\\u0bb0\\u0bbe\\u0b9f\\u0bcd\\u0b9f\\u0ba4\\u0bcd\\u0ba4\\u0bbf\\u0bb2\\u0bcd \\u0baa\\u0b99\\u0bcd\\u0b95\\u0bc7\\u0bb1\\u0bcd\\u0b95\\u0bbe\\u0ba4 \\u0b92\\u0bb0\\u0bc1 \\u0b95\\u0b9f\\u0bcd\\u0b9a\\u0bbf\\u0baf\\u0bbf\\u0ba9\\u0bcd \\u0b86\\u0b9f\\u0bcd\\u0b9a\\u0bbf \\u0b85\\u0ba4\\u0bbf\\u0b95\\u0bbe\\u0bb0\\u0ba4\\u0bcd\\u0ba4\\u0bbe\\u0bb2\\u0bcd \\u0ba8\\u0bae\\u0ba4\\u0bc1 \\u0b85\\u0bb0\\u0b9a\\u0bbf\\u0baf\\u0bb2\\u0bae\\u0bc8\\u0baa\\u0bcd\\u0baa\\u0bc1\\u0b9a\\u0bcd \\u0b9a\\u0b9f\\u0bcd\\u0b9f\\u0ba4\\u0bcd\\u0ba4\\u0bbf\\u0bb1\\u0bcd\\u0b95\\u0bc1 \\u0b86\\u0baa\\u0ba4\\u0bcd\\u0ba4\\u0bc1\\u2026 https://t.co/Vu31Xkj4WS',b'1208727790998061058',b'\\u0bb2\\u0bc6\\u0ba9\\u0bbf\\u0ba9\\u0bcd \\u0bae\\u0bc1\\u0bb0\\u0bc1\\u0b95\\u0ba9\\u0bcd (Lenin Murugan)',b'Murugan_Comrade',"b'Tamil Nadu, India'",b'MARXIST',b'101',b'292',b'0',b'7086',b'7836',b'False',b'False',b'False',b'False',b'2014-12-31 14:18:10'
b'\\u092e\\u0947\\u0930\\u093e \\u092c\\u0902\\u092c\\u0908! \\u092e\\u093e\\u091d\\u0940 \\u092e\\u0941\\u0902\\u092c\\u0908 !! \\n\\n#IndiaAgainstCAA https://t.co/JjNh8Sqdif',b'1208727492527185921',b'Munna Bhai',b'TweetOfMunna',b'Dhobi Ghat',"b'Jab Tak Suraj Chand Rahega, Munna Circuit Ka Naam Rahega.  follow karke unfollow karne wale suno bay Apun ke paas Tweet Sponge hain.'",b'881',b'945',b'0',b'4431',b'3417',b'False',b'False',b'True',b'False',b'2016-12-11 13:36:46'
b'#AssamAgainstCAA #assamprotests #IndiaAgainstCAA https://t.co/ZSoKoT8CJ8',b'1208727275337732096',b'PRANAY DEEP MOHAN',b'PRANAYDEEPMOHA2',"b'Namrup, India'",b'CHEMIST',b'12',b'164',b'0',b'28',b'117',b'False',b'False',b'True',b'False',b'2016-11-26 16:27:11'
"b'Your @BJP4Delhi openly shouting ""goli maaro saalo ko"" is a call for peace? Shame on you @narendramodi for doing ele\\u2026 https://t.co/hKRnAlSbdl'",b'1208727182434095105',b'Ashish Kajla',b'kajla_ashish',b'India',b'',b'67',b'361',b'0',b'708',b'606',b'False',b'True',b'True',b'False',b'2010-05-09 11:53:32'
b'@BJP4India #IndiaAgainstCAA #IndiaRejectsCAA #IndiaAgainstCAA_NRC #IndiaRejectsCAB',b'1208727115002023936',b'Berozgar AshokGehlot (parody account)',b'Ashok_Ghelot',b'',b'Congress Supporter. Bhakts keep out.',b'148',b'151',b'0',b'30787',b'6433',b'False',b'False',b'True',b'False',b'2018-05-18 08:08:49'
b'\\u09af\\u09c7 \\u09a6\\u09c7\\u09b6\\u09c7 \\u0997\\u09c1\\u09a3\\u09c7\\u09b0 \\u09b8\\u09ae\\u09be\\u09a6\\u09b0 \\u09a8\\u09c7\\u0987 \\u09b8\\u09c7 \\u09a6\\u09c7\\u09b6\\u09c7 \\u0997\\u09c1\\u09a3\\u09c0 \\u099c\\u09a8\\u09cd\\u09ae\\u09be\\u09a4\\u09c7 \\u09aa\\u09be\\u09b0\\u09c7 \\u09a8\\u09be\\n\\n---- \\u09a1\\u0983 \\u09ae\\u09c1\\u09b9\\u09be\\u09ae\\u09cd\\u09ae\\u09a6\\u09b6\\u09b9\\u09c0\\u09a6\\u09c1\\u09b2\\u09cd\\u09b2\\u09be\\u09b9\\u0964\\n#IndiaAgainstCAA\\u2026 https://t.co/IWAoVPknl8',b'1208727110937989120',b'Bengali Quotes',b'BengaliQuotes',b'',"b'\\u0985\\u09a8\\u09cd\\u09af \\u09ae\\u09be\\u09a8\\u09c1\\u09b7 \\u0986\\u09aa\\u09a8\\u09be\\u09b0 \\u099c\\u09a8\\u09cd\\u09af\\u09c7 \\u0996\\u09c1\\u09b6\\u09bf\\u09b0 \\u09ac\\u09cd\\u09af\\u09ac\\u09b8\\u09cd\\u09a5\\u09be \\u0995\\u09b0\\u09c7 \\u09a6\\u09bf\\u09ac\\u09c7, \\u09b8\\u09c7\\u0987 \\u0985\\u09aa\\u09c7\\u0995\\u09cd\\u09b7\\u09be \\u0995\\u09b0\\u09ac\\u09c7\\u09a8 \\u09a8\\u09be\\u0964 \\u09a8\\u09bf\\u099c\\u09c7\\u09b0 \\u0996\\u09c1\\u09b6\\u09bf \\u0986\\u09aa\\u09a8\\u09be\\u09b0 \\u09a8\\u09bf\\u099c\\u09c7\\u09b0\\u0987 \\u0996\\u09c1\\u0981\\u099c\\u09c7 \\u09a8\\u09bf\\u09a4\\u09c7 \\u09b9\\u09ac\\u09c7 \\u0964'",b'2431',b'2221',b'1',b'3767',b'23',b'False',b'False',b'False',b'False',b'2019-05-28 09:28:03'
b'Posters of #IndiaAgainstCAA https://t.co/TBUtkbC3Eb',b'1208726964237787136',b'Karthik',b'beastoftraal',b'Bangalore',"b'Communications consultant (see pinned tweet). Corporate workshops on personal branding via social media. Own @milliblog, ItwoFS & @NoWordYet.'",b'37641',b'1380',b'696',b'147653',b'4662',b'True',b'False',b'False',b'False',b'2008-12-18 01:28:52'
b'Posters of #IndiaAgainstCAA https://t.co/uHNohlieB5',b'1208726951902400514',b'Karthik',b'beastoftraal',b'Bangalore',"b'Communications consultant (see pinned tweet). Corporate workshops on personal branding via social media. Own @milliblog, ItwoFS & @NoWordYet.'",b'37641',b'1380',b'696',b'147653',b'4662',b'True',b'False',b'False',b'False',b'2008-12-18 01:28:52'
b'Posters of #IndiaAgainstCAA https://t.co/U1HD46Ub4i',b'1208726933283819521',b'Karthik',b'beastoftraal',b'Bangalore',"b'Communications consultant (see pinned tweet). Corporate workshops on personal branding via social media. Own @milliblog, ItwoFS & @NoWordYet.'",b'37641',b'1380',b'696',b'147653',b'4662',b'True',b'False',b'False',b'False',b'2008-12-18 01:28:52'
b'Folks. Do head to town hall right now if you are around (Bangalore). It is a sea of people. It is a sea of people.\\u2026 https://t.co/GYjzNVDir5',b'1208726831899144196',b'Aishwarya S',b'Hyper_aice',b'',"b'Screw Rowling, keep Hermione. \\n\\nAlso, duh but my views are my opinion and do not reflect any organisation I work for.'",b'3213',b'3587',b'47',b'12752',b'98845',b'False',b'False',b'False',b'False',b'2009-08-01 13:49:55'
