tweet_text,tweet_id,user_name,user_screen_name,user_location,user_description,user_follower_count,user_friends_count,user_listed_count,user_statuses_count,user_favourites_count,user_verified,user_default_profile_image,user_default_profile,user_protected,user_created_at
b'@VijaySh14690216 @RKYadav60504981 @Swwagatam @bakul_panchal_ @SanjayS66944533 @84_DPC @JayMahatmaGodse\\u2026 https://t.co/PfeQN7K56R',b'1218013694816186368',b'\\u092a\\u094d\\u0930\\u094b\\u092b\\u0947\\u0938\\u0930 \\u0921\\u093e \\u0905\\u092e\\u0930\\u0947\\u0936 \\u091a\\u0902\\u0926\\u094d\\u0930 \\u092a\\u093e\\u0923\\u094d\\u0921\\u0947\\u092f',b'Amaresh03335514',"b'Varanasi, India'","b'MSc,PhD Zoology(BHU), Professor,Author'",b'4589',b'3145',b'1',b'12042',b'7993',b'False',b'False',b'True',b'False',b'2017-12-15 11:45:08'
b'@TimesNow @SitaramYechury Tell #Leftists go to hell \\n#LEFTISTS_ARE_CANCER #leftist_are_terrorists',b'1218002676794843136',b'Nandini Idnani',b'idnani_nandini',"b'Maharashtra, India'",b'Namo Fan Proud Hindu Love my Forces Acc by Prof.\\nPresently Home Maker\\n@Nandini_Idnani 2K suspended\\n#NamoAgain2024 (418+)\\n#UddhavNotMyCM \\n\\U0001f1ee\\U0001f1f3\\U0001f6a9\\U0001f549\\ufe0f',b'2243',b'424',b'3',b'7316',b'32377',b'False',b'False',b'True',b'False',b'2019-10-29 04:41:31'
b'@blazingpress \\U0001f1fa\\U0001f1f8\\n#leftist_are_terrorists \\n#ImpeachmentHoax \\nhttps://t.co/bafoNcVrnQ',b'1217991911572758528',b'Fx99999',b'Infox99999',b'',b'On point',b'495',b'702',b'2',b'27429',b'24524',b'False',b'False',b'True',b'False',b'2019-03-08 23:54:28'
"b'@ndtv #JNU is not #india. Hacked media like NDTV, India Today presenting protest as all India. Rest of India is una\\u2026 https://t.co/VJTYgfuG3z'",b'1217958280330387456',b'Inner Voice',b'InnerVo22251335',b'',b'#India #USA Long live two Oldest & Biggest Democracy. There is Voice inside me for betterment of Human life that whisper all day.',b'992',b'1074',b'0',b'7347',b'1595',b'False',b'False',b'True',b'False',b'2018-12-26 14:22:09'
b'#LeftBehindJNUViolence \\n#LEFTISTS_ARE_CANCER #leftgoonsunmasked \\n#leftist_are_terrorists https://t.co/TBiO9aQzQQ',b'1217921661854334976',b'Voice_of_MANYAM(Listen_To_Us)',b'OfListen',b'',b'this account mean for fight for implement #PESA ACT',b'1',b'36',b'0',b'41',b'118',b'False',b'False',b'True',b'False',b'2020-01-09 16:54:11'
b'@ashutosh83B How many #leftistgoons &amp; #jihadi ideologists universities are?\\nNegotiate #crab as early as possible\\nor\\u2026 https://t.co/VhCkB5iHHA',b'1217888991376281601',b'MS Spoke',b'manojsinhaindia',"b'Now in Meditation, less tweets'","b'#PCL #UCC\\nVeer Bhogya Vasundhara.\\n\\nSpiritual. Data Scientist, S/W, IT (overseas)\\nStay Away:  Left crouch, Wit sprite, Flunkies.'",b'229',b'122',b'8',b'12599',b'1836',b'False',b'False',b'False',b'False',b'2016-03-04 14:28:17'
"b'\\u092a\\u093e\\u0930\\u094d\\u091f \\u091f\\u093e\\u0907\\u092e \\u091c\\u0949\\u092c\\n\\u090f\\u0921\\u094d\\u0930\\u0947\\u0938:- \\u0936\\u093e\\u0939\\u0940\\u0928 \\u092c\\u093e\\u0917\\n\\u0938\\u0947\\u0932\\u0930\\u0940:- 500\\u0930\\u0941 /- \\u092a\\u094d\\u0930\\u0924\\u093f\\u0926\\u093f\\u0928 \\u0938\\u093e\\u0925 \\u092e\\u0947\\u0902 \\u091a\\u093e\\u092f, \\u0928\\u093e\\u0938\\u094d\\u0924\\u093e,\\u0916\\u093e\\u0928\\u093e, \\u092c\\u093f\\u0930\\u092f\\u093e\\u0928\\u0940 \\u092e\\u0941\\u092b\\u094d\\u0924\\n\\u0915\\u093e\\u092e:- \\u0927\\u0930\\u0928\\u0947 \\u092a\\u0930\\u2026 https://t.co/RKzuddSyep'",b'1217865958544551937',b'Yash Tandon',b'imyash100',"b'Jaipur, India'","b'CricketMeriJaan\\u26be, Engineer\\U0001f4b0\\U0001f4da, Salman Khan DieHeartFan\\U0001f499\\U0001f3a5 Innocent Cool Composed\\U0001f64b moreover views are personal and authentic.'",b'69',b'200',b'0',b'1755',b'3766',b'False',b'False',b'True',b'False',b'2016-03-29 13:08:16'
b'@Pushpendraamu #LEFTISTS_ARE_CANCER\\n#LEFTISTS_MURDERED_MILLIONS \\n#LEFTIST_ARE_TERRORISTS \\n#ShutDownJNU',b'1217833620825460737',b'Jai HIND',b'jbshah1',b'INDIA',b'',b'165',b'124',b'1',b'20209',b'11065',b'False',b'False',b'True',b'False',b'2013-11-12 03:36:29'
b'The Liberal Leftists have tried to block Public Advocate\\u2019s attempt to boost our messages! They call the truth \\u201chate\\u2026 https://t.co/kSTVGBfauS',b'1217831539704238081',b'Public Advocate',b'PublicFreedom',"b'Washington, DC'",b'#MAGA #KAG Pro-Trump-Policy! Non-profit-organization supporting Conservative Family-Centered Values. Donate at https://t.co/S4QwfYeqze',b'4440',b'4869',b'33',b'13647',b'2037',b'False',b'False',b'False',b'False',b'2009-05-04 16:57:37'
b'#INDIASUPPORTSCAB\\n#IndiaSupportsCAA_NRC\\n#INDIALOVESMODI \\n\\n#LEFTIST_ARE_TERRORISTS https://t.co/If2xYHdZCb',b'1217767220622823424',b'Jai HIND',b'jbshah1',b'INDIA',b'',b'165',b'124',b'1',b'20209',b'11065',b'False',b'False',b'True',b'False',b'2013-11-12 03:36:29'
