"b'Who gave him the right to pelt stones on police officers ? If you will provoke, people will retaliate. If people ar\\u2026 https://t.co/OWsrIDnjVT'",b'1231989773910167552',b'Ankit Mishra',b'mishraankit037',"b'Allahabad, Uttar Pradesh '",b'Freelancer | Blogger | Startups | MRA | Crazy Tweets',b'89',b'687',b'2',b'874',b'704',b'False',b'False',b'True',b'False',b'2016-11-20 17:25:36'
"b'\\u092f\\u092e\\u0941\\u0928\\u093e\\u092a\\u093e\\u0930 \\u092e\\u0947\\u0902 \\u0939\\u093e\\u0932\\u093e\\u0924 \\u092c\\u0947\\u0915\\u093e\\u092c\\u0942, \\u0906\\u0917\\u091c\\u0928\\u0940, \\u092a\\u0925\\u0930\\u093e\\u0935 \\u091c\\u093f\\u0939\\u093e\\u0926\\u0940 \\u092d\\u0940\\u0921\\u093c \\u0928\\u0947 \\u092a\\u0947\\u091f\\u094d\\u0930\\u094b\\u0932 \\u092a\\u0902\\u092a \\u092b\\u0942\\u0902\\u0915\\u093e, \\u090f\\u0915 \\u092a\\u0941\\u0932\\u093f\\u0938\\u0915\\u0930\\u094d\\u092e\\u0940 \\u0915\\u0940 \\u092e\\u094c\\u0924 \\n:\\u2026 https://t.co/7jMwPfYW5i'",b'1231989764833923072',b'\\u0935\\u093f\\u0936\\u094d\\u0935\\u0938\\u0902\\u0935\\u093e\\u0926 \\u0915\\u0947\\u0902\\u0926\\u094d\\u0930 \\u091b\\u0924\\u094d\\u0924\\u0940\\u0938\\u0917\\u0922\\u093c',b'vskchhattisgarh',"b'Bhilai Sector 9, Bhilai'","b'Vishwa Samwad Kendra, Chhattisgarh is an initiative to aggregate and spread positive news and nationalistic views.'",b'897',b'85',b'0',b'1710',b'915',b'False',b'False',b'True',b'False',b'2017-05-10 12:03:11'
"b'\\u091c\\u0940\\u0928 \\u0915\\u0947 \\u0915\\u0932\\u0947\\u091c\\u0947 \\u0915\\u0947 \\u091f\\u0941\\u0915\\u0921\\u093c\\u0947 \\u0928\\u0947 \\u092f\\u0947 \\u0915\\u093e\\u0902\\u0921 \\u0915\\u093f\\u092f\\u093e \\u0939\\u0948!\\n\\u0935\\u094b \\u0905\\u092d\\u0940 \\u0924\\u0915 \\u0915\\u0921\\u093c\\u0940 \\u0928\\u093f\\u0928\\u094d\\u0926\\u093e \\u0928\\u0939\\u0940\\u0902 \\u0915\\u093f\\u0924\\u0947 \\u0939\\u0948, \\u0905\\u092d\\u0940 \\u0924\\u0915 ??\\n#KumarVishwas\\n#kapilmishra\\n#DelhiPolice'",b'1231989750346678273',b'\\u0905\\u092d\\u093f\\u0937\\u0947\\u0915 \\u091d\\u093e',b'Abhi_alok_2020',"b'Bihar, India'",b'Hyper nationalism',b'151',b'158',b'0',b'509',b'5241',b'False',b'False',b'True',b'False',b'2019-12-31 10:08:38'
"b""@adgpi Who's bring these goons in Delhi if they are not army? #GoBackTrump #DelhiPolice #DelhiBurning #DelhiViolence #DelhiRiots""",b'1231989741349818373',b'Mohammad Nooruddin',b'MNoorNadwi',b'',b'',b'99',b'843',b'0',b'10295',b'29665',b'False',b'False',b'True',b'False',b'2018-12-08 05:10:35'
"b'1 \\u092a\\u0941\\u0932\\u093f\\u0938 \\u0915\\u093e \\u091c\\u0935\\u093e\\u0928 \\u0936\\u0939\\u0940\\u0926 \\u0939\\u094b \\u0917\\u092f\\u093e, 2 \\u0906\\u092e \\u0932\\u094b\\u0917 \\u092d\\u0940 \\u092e\\u093e\\u0930\\u0947 \\u0917\\u090f, 30 \\u0938\\u0947 \\u091c\\u094d\\u092f\\u093e\\u0926\\u093e \\u0932\\u094b\\u0917 \\u0918\\u093e\\u092f\\u0932 , \\u0921\\u0940\\u0938\\u0940\\u092a\\u0940 \\u092d\\u0940 \\u0918\\u093e\\u092f\\u0932 \\u0932\\u0947\\u0915\\u093f\\u0928 ""\\u0938\\u0930\\u0926\\u093e\\u0930"" \\u0915\\u0939\\u0940 \\u0914\\u0930 \\u092c\\u093f\\u091c\\u0940\\u2026 https://t.co/B2AFZqQi1I'",b'1231989741257740293',b'Gopal Mishra',b'GopalMishra91',b'NeW dElHi',"b'#Student,  \\n\\n     \\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\nhttps://t.co/b6fiyXivkV'",b'225',b'381',b'4',b'10035',b'25277',b'False',b'False',b'False',b'False',b'2012-10-18 07:25:38'
b'...\\n\\n#HuaweiMateXs\\n#DelhiPolice\\n#realmeX50Pro\\n#TrumpIndiaVisit\\n...\\n\\nBienvenue chez le cr\\xe9ateur\\n\\nTwitter :@f999lf\\nAi\\u2026 https://t.co/115IYqem1L',b'1231989726762106881',b'Asma Aljuhani',b'Asma26k',b'',b'\\u200f\\u200f\\u200f\\nYour words mean nothing when your actions are the complete opposite.\\n\\n\\n\\n\\n\\n\\n\\n\\u0627\\u0634\\u0631\\u0627\\u0641:\\n\\n\\u200e\\u200e\\u200e\\u200e\\u200e\\u200e#\\u0641\\u0647\\u062f_\\u0627\\u0644_\\u062d\\u0631\\u0643\\u0627\\u0646',b'142',b'589',b'2',b'12836',b'5408',b'False',b'False',b'True',b'False',b'2018-09-24 11:01:31'
"b'\\u0926\\u0902\\u0917\\u094b \\u092e\\u0947 \\u0928\\u093e \\u0915\\u0947\\u091c\\u0930\\u0940\\u0935\\u093e\\u0932 \\u092e\\u0930\\u0947\\u0917\\u093e \\u0928\\u093e \\u0915\\u092a\\u093f\\u0932 \\u092e\\u093f\\u0936\\u094d\\u0930\\u093e ,\\n\\u0928\\u093e \\u0935\\u093e\\u0930\\u093f\\u0938 \\u092a\\u0920\\u093e\\u0928 \\u092e\\u0930\\u0947\\u0917\\u093e \\u0928\\u093e \\u0917\\u093f\\u0930\\u093f\\u0930\\u093e\\u091c..!\\n\\u0914\\u0930 \\u0928\\u093e \\u0939\\u0940 \\u0907\\u0928\\u0915\\u0947 \\u092c\\u091a\\u094d\\u091a\\u0947..\\u0964\\u0964\\n\\n\\u092e\\u0930\\u0947\\u0902\\u0917\\u0947 \\u092c\\u0947\\u0915\\u0938\\u0942\\u0930\\u2026 https://t.co/iBFMKNokZE'",b'1231989725596012545',b'Mohammad afroz',b'Afroj_khnnnnn',b'India ',b'Mr.bhaijan\\U0001f60e\\n\\n\\n\\nfavorite politician @asadowaisi & @kanhaiyakumar \\U0001f60e\\U0001f60e',b'203',b'543',b'0',b'1648',b'16667',b'False',b'False',b'True',b'False',b'2019-10-20 04:13:13'
b'This is not a protest. It is an uprising against parliamentary democracy. By ignoring its real nature we risk the v\\u2026 https://t.co/Qb3Vl3pYYd',b'1231989722769129473',b'United Hindu (UHF)',b'WithBharat',"b'New Delhi, India'",b'Official Account Of The United Hindu.                                              \\nNews. Views. Analysis. Conversations. Latest news from around the world.',b'14',b'129',b'0',b'208',b'6',b'False',b'False',b'True',b'False',b'2019-09-26 08:25:10'
b'@ArvindKejriwal @msisodia\\n\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0915\\u0936\\u094d\\u092e\\u0940\\u0930 \\u092c\\u0928 \\u091a\\u0941\\u0915\\u093e \\u0939\\u0948 \\u092f\\u093e \\u0906\\u0917\\u0947 \\u091c\\u093e\\u0915\\u0930 \\u092c\\u0928\\u0947\\u0917\\u093e?#DelhiPolice https://t.co/5AxLytubR7',b'1231989717371060224',b'malay behera',b'malaybehera2',b'Surat Gujarat',"b'CAA, protest \\u0924\\u094b \\u090f\\u0915 \\u092c\\u0939\\u093e\\u0928\\u093e \\u0939\\u0948 \\u0905\\u0938\\u0932 \\u092e\\u0947\\u0902 \\u0924\\u094b \\u0936\\u0930\\u093f\\u092f\\u093e \\u0915\\u093e\\u0928\\u0942\\u0928 \\u0932\\u093e\\u0928\\u093e \\u0939\\u0948\\u0964'",b'20',b'53',b'0',b'345',b'889',b'False',b'False',b'True',b'False',b'2015-10-04 13:20:25'
"b'National capital is burning, these are systematically orchestrated chaos. Political clashes often leads to mortifyi\\u2026 https://t.co/l55HsISya4'",b'1231989695275388934',b'Ashish',b'Ashishnailedit',"b'Hindwadi, Belgaum'",b'Instagram :ash_ecstasy|\\n| Engineering |\\n|Pshychology in criminal justice | \\n|Fashion Enthusiast | \\n| LGBT Activist|\\n|Founder of #speakout_revolution |',b'22',b'38',b'0',b'378',b'527',b'False',b'False',b'True',b'False',b'2017-11-21 16:36:31'
