"b""All true . Except that Delhi has also seen rioting by groups which r 'pro' CAA. Whether as a reaction or by themsel\\u2026 https://t.co/KYEXcG6njA""",b'1232222642293182466',b'The_Albatross',b'TheAlbatross15',b'',"b""history, strategy, defence, aerospace, maritime, yeah I'm 'The Albatross' for a reason!""",b'241',b'169',b'1',b'10727',b'11728',b'False',b'False',b'True',b'False',b'2019-04-26 15:40:55'
"b'Both pro and anti CAA sides will have to calm down, and leaders of all parties and communities should come on the ground to appeal for peace'",b'1232222571619377152',b'humanoid',b'makad_1',b'',b'human',b'4',b'141',b'0',b'2898',b'1225',b'False',b'False',b'True',b'False',b'2015-08-25 22:56:10'
b'@MirchiSayema Why not Pro CAA protesters shown their protest at Jantar Mantar or Ramlila Ground. What was the urgen\\u2026 https://t.co/FJ2BLZmAUD',b'1232222441771950081',b'Mission Bharat',b'AnilkukrejaA',b'',b'Delhi',b'632',b'1545',b'0',b'2353',b'512',b'False',b'False',b'True',b'False',b'2013-10-15 17:00:58'
b'Have Delhi Police arrested any Pro CAA supporter who was involved in Violence and Arson despite video evidence?',b'1232222441755303936',b'Rahul Meena',b'MeenaHosteL1995',"b'New Delhi, India'",b'Modern Tribal. Secular. Socialist. Climate Activist.\\nAlumnus @meenahosteljpr. Delhi University. Blogger.',b'918',b'1088',b'1',b'13361',b'19075',b'False',b'False',b'True',b'False',b'2017-07-08 15:01:52'
b'@Nehr_who what to say @narendramodi @AmitShah gave full support to @KapilMishra_IND pro CAA to take his goons to at\\u2026 https://t.co/Ml9LCFfYAF',b'1232222402215583744',b'riazsheiq',b'riazsheiq',"b'Nevada City, CA'",b'',b'370',b'1961',b'0',b'41774',b'38912',b'False',b'False',b'True',b'False',b'2019-12-11 21:26:19'
"b'@justegobro @ReallySwara @DelhiPolice For a common Indian, there is nothing to worry.  But for vested interests Pro\\u2026 https://t.co/B3bQVAtnFh'",b'1232222396142063617',b'Om',b'ashoksharma1957',b'',b'The views are purely personal.  People can differ with me.',b'26',b'190',b'1',b'1658',b'278',b'False',b'False',b'True',b'False',b'2010-05-07 11:45:11'
"b""Can we just stop with this pro CAA 'protestors' narrative. They are Hindu terrorists committing violence and trying to incite riots!""",b'1232222296615550978',b'name witheld',b'jchakrab0rty',b'BLR',b'very boring person\\n\\ncurrent favourite : https://t.co/AcFKBdCTMa\\n\\n#glazersout #woodwardout #modiout #bjpout #rssout',b'135',b'660',b'0',b'6444',b'21195',b'False',b'False',b'True',b'False',b'2019-07-05 17:53:16'
b'Actually I think u r completely out of ur mind &amp; behaving like a dumb rightnow because the Pro CAA supporters are m\\u2026 https://t.co/THyzjUuhc5',b'1232222277527314433',b'Dr. Biplab Siladitya',b'BiplabSiladitya',"b'\\u0915\\u091f\\u0915, \\u092d\\u093e\\u0930\\u0924'","b'Lawyer | Karate Shitorio Black Belt | East Zone Vizzy Trophy Cricketer | NCC C Certificate | Gold Medalist in History | Ex National Sect, NSUI |\\nViews Personal'",b'407',b'217',b'1',b'1053',b'5282',b'False',b'False',b'False',b'False',b'2009-12-20 19:20:18'
b'Shaheen Bagh protest is going on for 2 months:\\n\\nNo of Riots- 0\\nNo of person injured- 0\\nNo of Houses burnt- 0\\nNo of\\u2026 https://t.co/USCySE7Fo6',b'1232222262037630977',b'\\ufe0fSULTAN MALLIK  (\\u0633\\u0644\\u0637\\u0627\\u0646) \\U0001f1ee\\U0001f1f3',b'IM_SULTAN_AL',"b'\\u0917\\u0941\\u0935\\u093e\\u0939\\u093e\\u091f\\u0940, \\u092d\\u093e\\u0930\\u0924'",b'Feel the pride of being the part of such a glorious nation\\U0001f64f\\U0001f64f\\U0001f1ee\\U0001f1f3',b'382',b'362',b'1',b'3531',b'20474',b'False',b'False',b'True',b'False',b'2017-03-18 18:53:59'
"b""Yesterday's violence was not clash between anti CAA and pro CAA protesters. It was an absolute organized violence by the hindutva terrorist""",b'1232222149546520577',b'MD Khurshid Ziya',b'ziya_khurshid',b'',b'I am student of MA in jnu university',b'15',b'198',b'0',b'60',b'156',b'False',b'False',b'True',b'False',b'2019-12-22 06:09:40'
