b'Bhaiya ye ese hi rahenge\\n#DelhiRiots #DelhiPolice https://t.co/o1tPx7TzDN',b'1232233648776085505',b'Ajay Poonia',b'CaptainPoonia',b'',b'Jai Hind! Jai Bharat!',b'19',b'117',b'0',b'42',b'185',b'False',b'False',b'True',b'False',b'2017-06-27 15:45:44'
b'2002 \\u0917\\u0941\\u091c\\u0930\\u093e\\u0924 \\u0926\\u0902\\u0917\\u094b\\u0902 \\u092e\\u0947\\u0902 \\u091c\\u093f\\u0928\\u0915\\u0947 \\u0939\\u093e\\u0925\\u0902 \\u092e\\u0947\\u0902 \\u092a\\u0941\\u0932\\u093f\\u0938 \\u0925\\u0940.\\n\\n\\u0906\\u091c \\u0915\\u0947 \\u0926\\u0902\\u0917\\u094b\\u0902 \\u092e\\u0947\\u0902 #DelhiPolice \\u092d\\u0940 \\u0909\\u0928\\u094d\\u0939\\u0947\\u0902 \\u0915\\u0947 \\u0939\\u093e\\u0925\\u0902 \\u092e\\u0947\\u0902 \\u0939\\u0948.\\n\\n\\u0906\\u092a \\u0918\\u092c\\u0921\\u093c\\u093e\\u090f\\u0902\\u2026 https://t.co/SO9NVEGPis',b'1232233647723491329',b'Akash S Sable',b'AkashSSable1993',"b'Pune, India'",b'Real personality \\U0001f44c\\U0001f60d',b'19',b'175',b'0',b'598',b'481',b'False',b'False',b'True',b'False',b'2015-09-16 11:38:46'
b'\\u0907\\u0938 \\u0935\\u094d\\u092f\\u0915\\u094d\\u0924\\u093f \\u0928\\u0947 \\u0938\\u094b\\u0928\\u093f\\u092f\\u093e \\u0914\\u0930 \\u092a\\u094d\\u0930\\u093f\\u092f\\u0902\\u0915\\u093e \\u0915\\u093e \\u092e\\u0942\\u0924\\u094d\\u0930 \\u092a\\u093f\\u092f\\u093e \\u0939\\u0948\\u0964\\n#DelhiRiots #DelhiPolice #DelhiViolence #IslamicTerrorism\\u2026 https://t.co/bqgSG56fkv',b'1232233644627984384',b'\\u092e\\u0948\\u0902 \\u0939\\u093f\\u0928\\u094d\\u0926\\u0942 \\u0915\\u0949\\u0928\\u094d\\u0938\\u094d\\u091f\\u0947\\u092c\\u0932',b'Real_Hindu_',b'',b'',b'1357',b'1044',b'1',b'1617',b'2629',b'False',b'False',b'True',b'False',b'2013-07-06 16:17:29'
b'\\u0915\\u093f\\u0938\\u0940 \\u092e\\u0941\\u0938\\u094d\\u0932\\u093f\\u092e \\u0915\\u0940 \\u0928\\u093e\\u0917\\u0930\\u093f\\u0915\\u0924\\u093e \\u0924\\u094b \\u0928\\u0939\\u0940\\u0902 \\u0917\\u0908\\n\\u0932\\u0947\\u0915\\u093f\\u0928 \\u090f\\u0915 \\u091c\\u093e\\u0902\\u092c\\u093e\\u091c \\u092a\\u0941\\u0932\\u093f\\u0938 \\u0935\\u093e\\u0932\\u0947 \\u0915\\u0940 \\u091c\\u093e\\u0928 \\u091a\\u0932\\u0940 \\u0917\\u0908\\n\\U0001f622\\U0001f621\\U0001f622\\n#DelhiPolice \\n#DelhiPolice\\n#DelhiViolence \\n#DelhiIsBurning',b'1232233627213156352',b'ANKIT YADAV',b'Ankitarmy82',b'',b'',b'14',b'110',b'0',b'341',b'11',b'False',b'False',b'True',b'False',b'2015-05-20 09:33:33'
b'#DelhiViolence\\n#DelhiRiots\\n#DelhiIsBurning #DelhiPolice #delhiburing #SharukhTerrorist #Delhi https://t.co/uEpz25S4H2',b'1232233607902760961',b'Ravi Ranjan',b'withravii',"b'Bengaluru, India'",b'Yet to be written!',b'36',b'121',b'0',b'429',b'816',b'False',b'False',b'True',b'False',b'2009-08-08 06:14:38'
b'dp \\u0916\\u093f\\u0902\\u091a\\u0923 \\u0935\\u093e\\u0938\\u094d\\u0924\\u0947 \\u0916\\u0921\\u093c\\u0940 \\u0930\\u093e\\u0916\\u0940 \\u0939\\u0948 \\u092a\\u0941\\u0932\\u093f\\u0938 \\u0924\\u0928\\u094d\\u0928\\u0947! \\n#DelhiViolence #DelhiRiots #DelhiPolice #DelhiBurning #DelhiBurns',b'1232233567050137600',b'typocracy',b'weirocracy',b'',b'countercultural',b'199',b'186',b'1',b'23035',b'63337',b'False',b'False',b'True',b'False',b'2010-02-28 17:32:17'
"b'\\u092f\\u0947 \\u092a\\u0941\\u0932\\u093f\\u0938 \\u0928\\u0939\\u0940\\u0902, \\u0917\\u0941\\u0902\\u0921\\u0947 \\u0939\\u0948\\u0902\\n\\u0932\\u094b\\u0915\\u0924\\u093e\\u0902\\u0924\\u094d\\u0930\\u093f\\u0915 \\u092d\\u093e\\u0930\\u0924 \\u0915\\u094b \\u0938\\u0902\\u0918\\u0924\\u0902\\u0924\\u094d\\u0930 \\u092c\\u0928\\u093e \\u0926\\u093f\\u092f\\u093e\\n#DelhiRiots #DelhiViolence #DelhiPolice\\u2026 https://t.co/mfTe2EHSfM'",b'1232233563728146432',b'IYC Telangana',b'IYCTelangana',"b'Telangana, India'","b""Official Handle of Telangana Pradesh Youth Congress Committee, RT's are not Endorsements. Incharge: @JebiMather; State President: @AnilTpyc""",b'10915',b'83',b'37',b'77384',b'45580',b'True',b'False',b'True',b'False',b'2016-01-23 08:42:39'
b'We ain\\u2019t scared of you.\\U0001f595\\U0001f3fb#DelhiRiots #DelhiPolice #DelhiViolence #IslamicTerrorism https://t.co/jwQ8EPbKIr',b'1232233546921791489',b'Vikas Singh Tomar',b'imvikas099',"b'Ayodhya, India'","b""Being human ,die hard sachinist,\\ndie hard salman khan's fan,\\nproud on indian army ,\\nmba student,\\nearth felt my effect on 9 sep\\U0001f600,""",b'159',b'924',b'0',b'1050',b'657',b'False',b'False',b'True',b'False',b'2016-03-21 05:44:52'
"b""@sunflow25517043 @odradesh @KahnSikandar @DineshSingathi @Swamy39 Simple, \\n\\nI'm mature to call the Gun Holders as T\\u2026 https://t.co/aczhOUDLW5""",b'1232233544048472064',b'Shalini\\U0001f380',b'Shaline2ee',b'Sarcastic World',"b""I'm Hindu but not BJP, Of course not Congress, then Obviously Not Communist, definitely not Centric+\\n\\nCommon Girl \\U0001f646\\U0001f64b\\U0001f481\\U0001f486\\U0001f937+\\n\\nBengali Marathi Urdu French Tamil""",b'2059',b'290',b'4',b'9399',b'5952',b'False',b'False',b'True',b'False',b'2018-04-19 03:54:29'
b'I cannot emphasis on this more. This is for all the privileged friends and family I unfortunately have. #DelhiPolice https://t.co/I3ILbv7bGD',b'1232233524695928832',b'Sanya Kundra',b'SanyaRajSingh',"b'New Delhi, India'",b'Views are personal. Retweets are not endorsements.',b'245',b'154',b'4',b'989',b'718',b'False',b'False',b'False',b'False',b'2013-05-04 23:37:30'
b'\\u092f\\u0947 \\u0906\\u092a \\u092a\\u093e\\u0930\\u094d\\u091f\\u0940 \\u0915\\u0947 \\u091a\\u0947\\u0932\\u0947 @KapilMishra_IND \\u0915\\u094b \\u0926\\u0902\\u0917\\u093e\\u0908 \\u092c\\u0924\\u093e \\u0930\\u0939\\u0947 \\u0939\\u0948 \\u0914\\u0930 \\u092f\\u0947 \\u091c\\u094b \\u092b\\u093c\\u094b\\u091f\\u094b \\u092e\\u0948\\u0902 \\u0916\\u0941\\u0932\\u0947 \\u0906\\u092e \\u0917\\u094b\\u0932\\u0940 \\u091a\\u0932\\u093e\\u0928\\u0947 \\u0935\\u093e\\u0932\\u093e \\u092f\\u0947 \\u0909\\u0928\\u0915\\u093e \\u0905\\u092c\\u094d\\u092c\\u093e\\u2026 https://t.co/JdHx4HUXHI',b'1232233484619517958',b'Himanshu Yadav Bjp',b'bjymhimanshu',"b'New Delhi, India'",b'Secretary BJYM Delhi Pradesh',b'1181',b'383',b'1',b'1389',b'4318',b'False',b'False',b'True',b'False',b'2015-01-30 15:14:21'
b'@AchAnkurArya \\u0905\\u092c \\u092b\\u094d\\u0930\\u0940 \\u092e\\u0947\\u0902 \\u092e\\u094c\\u091c \\u0932\\u0947\\u0917\\u0940 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940\\n*\\u0905\\u092c \\u092b\\u094d\\u0930\\u0940 \\u092e\\u0947\\u0902 \\u092e\\u0941\\u0932\\u094d\\u0932\\u094b\\u0902 \\u0915\\u093e \\u0926\\u0902\\u0917\\u093e \\u091d\\u0947\\u0932\\u0947\\u0917\\u0940 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940\\n*\\u0905\\u092c \\u092b\\u094d\\u0930\\u0940 \\u092e\\u0947\\u0902 \\u0935\\u093f\\u0938\\u094d\\u0925\\u093e\\u092a\\u0928 \\u091d\\u0947\\u0932\\u0947\\u0917\\u0940\\u2026 https://t.co/PvP1renKrY',b'1232233481931022336',b'Abhishek Kumar',b'Abhikumar0407',b'',b'',b'12',b'73',b'0',b'13',b'75',b'False',b'False',b'True',b'False',b'2017-06-06 07:25:28'
"b'After poisoning the air with hate, we say all help assured. \\n\\n#DelhiViolence #DelhiPolice https://t.co/DxyZYTE5Ut'",b'1232233446468091904',b'Khushboo Tiwari',b'This_khushboo',"b'Mumbai, India'",b'Journalist @CNBC_Awaaz . Everything about Startups and Personal Finance. Eager for any gyan on books and poems! Studied at IIMC',b'127',b'402',b'1',b'521',b'735',b'False',b'False',b'False',b'False',b'2017-05-02 06:52:46'
