"b'\\u092e\\u0948\\u0902 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092e\\u0947\\u0902 \\u0939\\u094b \\u0930\\u0939\\u0940 \\u0939\\u093f\\u0902\\u0938\\u093e \\u0915\\u093e \\u091c\\u093c\\u093f\\u092e\\u094d\\u092e\\u0947\\u0926\\u093e\\u0930 \\u0938\\u094d\\u0935\\u0930\\u093e \\u092d\\u093e\\u0938\\u094d\\u0915\\u0930, \\u0915\\u0928\\u094d\\u0939\\u0948\\u092f\\u093e \\u0915\\u0941\\u092e\\u093e\\u0930 \\u0913\\u0930 \\u092d\\u0940\\u092e \\u0906\\u0930\\u094d\\u092e\\u0940 \\u091a\\u0940\\u092b\\u093c \\u091a\\u0902\\u0926\\u094d\\u0930\\u0936\\u0947\\u0916\\u0930 \\u0906\\u091c\\u093c\\u093e\\u0926 \\u0915\\u094b \\u0920\\u0939\\u0930\\u093e\\u0924\\u093e\\u2026 https://t.co/Th5yatT7l1'",b'1232199633469788160',b'Binder Thakur',b'BinderThakur38',"b'Gurgaon, India'","b'\\u091c\\u094b \\u0939\\u093f\\u0902\\u0926\\u0942 \\u0930\\u093e\\u092e \\u0915\\u093e \\u0928\\u0939\\u0940\\u0902,\\u0935\\u094b \\u0915\\u093f\\u0938\\u0940 \\u0915\\u093e\\u092e \\u0915\\u093e \\u0928\\u0939\\u0940\\u0902\\u0964                   \\u0930\\u093e\\u0937\\u094d\\u091f\\u094d\\u0930\\u0939\\u093f\\u0924 \\u0938\\u0930\\u094d\\u0935\\u094b\\u092a\\u0930\\u0940\\u0964\\u0964\\u0964 \\u091c\\u092f \\u0936\\u094d\\u0930\\u0940 \\u0930\\u093e\\u092e\\U0001f64f\\U0001f64f\\U0001f64f'",b'43',b'139',b'0',b'398',b'448',b'False',b'False',b'True',b'False',b'2020-01-20 02:08:57'
"b""If this doesn't make your blood boil, then nothing else will.\\nWho cares what religion they belong to. Is this behav\\u2026 https://t.co/iQuVagpfBI""",b'1232199614012383232',b'Piyush Jha',b'AsliGyaan',b'New Delhi',"b'Journalist @BrutIndia, Ex- @WION, @CNNnews18 & @IndiaToday | Satire | Comedy | News Addict | International Affairs | Atheist | Civil Engineer |'",b'1372',b'1245',b'7',b'674',b'483',b'False',b'False',b'False',b'False',b'2014-03-31 20:24:01'
b'Indeed both @KapilMishra_IND &amp; the creator of this violence @ianuragthakur  should be Arrested. They did the same a\\u2026 https://t.co/kdgw7VcNiP',b'1232199587231698945',b'Amir Khurshid  ll  \\u0639\\u0627\\u0645\\u0631 \\u062e\\u0648\\u0631\\u0634\\u06cc\\u062f',b'ErAmirKhurshid',"b'Siwan, India'",b'\\u092e\\u0924\\u092d\\u0947\\u0926 \\u095b\\u0930\\u0942\\u0930 \\u0930\\u0916\\u0947\\u0902 \\u0915\\u094d\\u092f\\u094b\\u0902\\u0915\\u093f \\u0935\\u094b \\u0928\\u095b\\u0930\\u093f\\u092f\\u093e \\u092a\\u0947 \\u0928\\u093f\\u0930\\u094d\\u092d\\u0930 \\u0915\\u0930\\u0924\\u093e \\u0939\\u0948 \\u092a\\u0930 \\u092e\\u0928\\u092d\\u0947\\u0926 \\u0928\\u0939\\u0940\\u0902 \\u2757\\n\\U0001f1ee\\U0001f1f3',b'2014',b'2023',b'1',b'2896',b'2729',b'False',b'False',b'True',b'False',b'2014-03-05 19:02:13'
"b""It's time to action.\\n\\u0915\\u094d\\u092f\\u093e \\u0938\\u094b\\u091a \\u0930\\u0939\\u0947 \\u0939\\u0948\\u0902?\\n\\u0915\\u093f\\u0938\\u0915\\u093e \\u0907\\u0902\\u0924\\u091c\\u093e\\u0930 \\u0939\\u0948?\\n\\u0905\\u0917\\u0932\\u0940 \\u092c\\u093e\\u0930\\u0940 #DelhiPolice \\u0906\\u092a\\u0915\\u0940 \\u0939\\u094b \\u0938\\u0915\\u0924\\u0940 \\u0939\\u0948\\u0964\\nJust shoot at sight\\u2026 https://t.co/nSI4fvgCbd""",b'1232199566465753088',b'DH\\u0394R\\u0394M P\\u0394T\\u03a3L',b'Dharam__Patel',"b'Gujarat, India'","b'\\u0938\\u0928\\u093e\\u0924\\u0928\\u0927\\u0930\\u094d\\u092e\\u0940,\\u0930\\u093e\\u0937\\u094d\\u091f\\u094d\\u0930\\u0935\\u093e\\u0926\\u0940 \\u0935\\u093f\\u091a\\u093e\\u0930\\u0915,\\n\\u0915\\u093e\\u0902\\u0917\\u094d\\u0930\\u0947\\u0938 \\u092e\\u0941\\u0915\\u094d\\u0924 \\u092d\\u093e\\u0930\\u0924 \\u0907\\u091a\\u094d\\u091b\\u0941\\u0915\\u0964\\n\\u0935\\u093e\\u092e\\u092a\\u0928\\u094d\\u0925\\u0940\\u0913 \\u0915\\u0940 \\u0926\\u0947\\u0937\\u0926\\u094d\\u0930\\u094b\\u0939\\u0940 \\u0937\\u0921\\u093c\\u092f\\u0902\\u0924\\u094d\\u0930\\u094b\\u0938\\u0947 \\u092a\\u0930\\u093f\\u091a\\u093f\\u0924\\u0964\\n\\u091f\\u094d\\u0930\\u0941\\u0937\\u094d\\u091f\\u0940\\u0915\\u0930\\u0928 \\u0938\\u0947 \\u091a\\u093f\\u0902\\u0924\\u093f\\u0924\\u0964\\n\\u0928\\u0930\\u0947\\u0902\\u0926\\u094d\\u0930 \\u092e\\u094b\\u0926\\u0940\\u091c\\u0940 \\u0938\\u0947 \\u092a\\u094d\\u0930\\u092d\\u093e\\u0935\\u093f\\u0924\\u0964\\u091c\\u092f \\u092d\\u093e\\u0930\\u0924\\u0940'",b'88',b'124',b'0',b'2195',b'617',b'False',b'False',b'False',b'False',b'2009-06-17 18:52:07'
b'Absolutely right ....\\n\\n#DelhiPolice https://t.co/BOAAnXQ1UK',b'1232199550116347904',b'B K L',b'BebaakL',b'oyo',"b'\\u091c\\u093f\\u0938\\u0915\\u094b \\u0938\\u091a \\u0938\\u0941\\u0928\\u0928\\u0947 \\u0915\\u0940 \\u0915\\u094d\\u0937\\u092e\\u0924\\u093e \\u0939\\u094b \\u0935\\u0939\\u0940 \\u092f\\u0939\\u093e\\u0902 \\u0906\\u090f , \\u092c\\u094d\\u0932\\u0949\\u0915 \\u0915\\u0930\\u094b \\u0905\\u0928\\u092b\\u0949\\u0932\\u094b \\u0915\\u0930\\u094b \\u0939\\u092e\\u0915\\u094b \\u0915\\u094b\\u0908 \\u092b\\u0930\\u094d\\u0915 \\u0928\\u0939\\u0940 \\u092a\\u0921\\u093c\\u0924\\u093e \\U0001f63c  #gatta_party'",b'54',b'47',b'0',b'502',b'380',b'False',b'False',b'True',b'False',b'2020-01-09 16:41:40'
"b'wow, great , this is incredible Delhi CM\\n#Delhi \\n#DelhiPolice https://t.co/bxhzz5lhCJ'",b'1232199518185115648',b'Kawanljeet',b'kawanljeet',b'new delhi',"b'I am kawanljeet, i live in gurgaon, state haryana'",b'37',b'240',b'0',b'7548',b'5355',b'False',b'False',b'True',b'False',b'2013-02-14 03:20:59'
b'\\U0001f602\\U0001f602\\U0001f602 #DelhiPolice #DelhiRiots https://t.co/f4T8GMSy5J',b'1232199481199693824',b'MadMate',b'KaneWilliamsonn',"b'Go Straight, Take Left.'","b""DHFM | Cricket Fanatic | My responses firmly follows newton's third law |""",b'51',b'101',b'0',b'4355',b'3668',b'False',b'False',b'True',b'False',b'2016-06-24 14:14:35'
"b'The #DelhiPolice must impose the Idiom like ""Tit For TAt"" for Anti National Eliments, So that no one can dare to do\\u2026 https://t.co/oGIYOBQQOf'",b'1232199456667291649',b'N S Rawat',b'Sir_Rawat',b'India',"b'Motivational Speaker, Human Rights & Social Media activist'",b'196',b'616',b'0',b'6910',b'1668',b'False',b'False',b'True',b'False',b'2019-10-21 11:09:38'
"b'You noticed something in this pic?\\n*Shiva - *Zulfikar - *Tyagi.\\n\\nYehi toh #GujaratModel hai, Attacking livelihood o\\u2026 https://t.co/ILrTLCqbGC'",b'1232199440070475776',b'Faizan Ahmed Khan',b'thefakhan',b'india',b'',b'27',b'54',b'1',b'809',b'346',b'False',b'False',b'True',b'False',b'2012-04-12 16:02:16'
"b'A designated GOON, A RIOTER, An extremist, A terrorist and also a murder @KapilMishra_IND should be in jail immedia\\u2026 https://t.co/P1W7czBUAq'",b'1232199398672752651',b'Aabhas Sharma',b'AABHAS_s',b'',b'',b'25',b'82',b'1',b'882',b'827',b'False',b'False',b'True',b'False',b'2015-03-30 06:48:24'
