"b""@MysterySolvent Couldn't get anymore #fake &amp; #IvankaTrump can do empty headed &amp; ugliest clothes at the same time!!""",b'1229323824958705666',b'Pamela Tyahla',b'PamelaTyahla',b'',"b""I feel every person should have the right to express themselves without retribution , just be fair. respect and care for creatures who can't defend themselves.""",b'2376',b'2263',b'12',b'16618',b'28668',b'False',b'False',b'True',b'False',b'2015-10-23 16:18:08'
b'\\u0645\\u0646\\u062a\\u062f\\u0649 \\u0627\\u0644\\u0645\\u0631\\u0623\\u0629 \\u0627\\u0644\\u0639\\u0627\\u0644\\u0645\\u064a \\u0645\\u0646 \\u062f\\u0628\\u064a.. \\u0634\\u0639\\u0627\\u0631\\u0647 \\u0642\\u0648\\u0629 \\u0627\\u0644\\u062a\\u0623\\u062b\\u064a\\u0631 \\u0648\\u0636\\u064a\\u0641\\u062a\\u0647 \\u0625\\u064a\\u0641\\u0627\\u0646\\u0643\\u0627 \\u062a\\u0631\\u0627\\u0645\\u0628\\n\\n\\u0634\\u0627\\u0647\\u062f\\u064a \\u0627\\u0644\\u0645\\u0632\\u064a\\u062f \\u0645\\u0646 \\u062e\\u0644\\u0627\\u0644 \\u0627\\u0644\\u0631\\u0627\\u0628\\u0637 \\u0627\\u0644\\u062a\\u0627\\u0644\\u064a\\u2026 https://t.co/1pv5GfM0ge',b'1229322461679964161',b'Foochia - \\u0641\\u0648\\u0634\\u064a\\u0627',b'foochia',b'Middle East',b'\\u0645\\u0648\\u0642\\u0639 \\u064a\\u0647\\u062a\\u0645 \\u0628\\u0634\\u0624\\u0648\\u0646 \\u0648\\u0634\\u062c\\u0648\\u0646 \\u0627\\u0644\\u0645\\u0631\\u0623\\u0629 \\u0627\\u0644\\u0639\\u0631\\u0628\\u064a\\u0629\\u060c \\u0645\\u0646\\u0647 \\u0646\\u0637\\u0644 \\u0639\\u0644\\u0649 \\u0639\\u0627\\u0644\\u0645 \\u0627\\u0644\\u0623\\u0632\\u064a\\u0627\\u0621\\u060c \\u0627\\u0644\\u062c\\u0645\\u0627\\u0644\\u060c \\u0627\\u0644\\u0631\\u0634\\u0627\\u0642\\u0629 \\u0648\\u0627\\u0644\\u0644\\u0628\\u0627\\u0642\\u0629\\u060c \\u0648\\u0646\\u062a\\u0627\\u0628\\u0639 \\u0623\\u062e\\u0628\\u0627\\u0631 \\u0627\\u0644\\u0645\\u0634\\u0627\\u0647\\u064a\\u0631 \\u0648\\u0627\\u0644\\u0641\\u0646 \\u0648\\u0627\\u0644\\u062b\\u0642\\u0627\\u0641\\u0629.',b'129645',b'511',b'138',b'76674',b'734',b'True',b'False',b'False',b'False',b'2015-01-21 05:39:38'
b'\\u0645\\u0646\\u062a\\u062f\\u0649 \\u0627\\u0644\\u0645\\u0631\\u0623\\u0629 \\u0627\\u0644\\u0639\\u0627\\u0644\\u0645\\u064a \\u0645\\u0646 \\u062f\\u0628\\u064a.. \\u0634\\u0639\\u0627\\u0631\\u0647 \\u0642\\u0648\\u0629 \\u0627\\u0644\\u062a\\u0623\\u062b\\u064a\\u0631 \\u0648\\u0636\\u064a\\u0641\\u062a\\u0647 \\u0625\\u064a\\u0641\\u0627\\u0646\\u0643\\u0627 \\u062a\\u0631\\u0627\\u0645\\u0628\\n\\n#\\u0645\\u0634\\u0627\\u0647\\u064a\\u0631 #\\u0627\\u062e\\u0628\\u0627\\u0631_\\u0627\\u0644\\u0645\\u0634\\u0627\\u0647\\u064a\\u0631 #\\u0645\\u0646\\u062a\\u062f\\u0649_\\u0627\\u0644\\u0645\\u0631\\u0623\\u0629_\\u0627\\u0644\\u0639\\u0627\\u0644\\u0645\\u064a\\u2026 https://t.co/OyPs19jty3',b'1229318952653860864',b'Foochia - \\u0641\\u0648\\u0634\\u064a\\u0627',b'foochia',b'Middle East',b'\\u0645\\u0648\\u0642\\u0639 \\u064a\\u0647\\u062a\\u0645 \\u0628\\u0634\\u0624\\u0648\\u0646 \\u0648\\u0634\\u062c\\u0648\\u0646 \\u0627\\u0644\\u0645\\u0631\\u0623\\u0629 \\u0627\\u0644\\u0639\\u0631\\u0628\\u064a\\u0629\\u060c \\u0645\\u0646\\u0647 \\u0646\\u0637\\u0644 \\u0639\\u0644\\u0649 \\u0639\\u0627\\u0644\\u0645 \\u0627\\u0644\\u0623\\u0632\\u064a\\u0627\\u0621\\u060c \\u0627\\u0644\\u062c\\u0645\\u0627\\u0644\\u060c \\u0627\\u0644\\u0631\\u0634\\u0627\\u0642\\u0629 \\u0648\\u0627\\u0644\\u0644\\u0628\\u0627\\u0642\\u0629\\u060c \\u0648\\u0646\\u062a\\u0627\\u0628\\u0639 \\u0623\\u062e\\u0628\\u0627\\u0631 \\u0627\\u0644\\u0645\\u0634\\u0627\\u0647\\u064a\\u0631 \\u0648\\u0627\\u0644\\u0641\\u0646 \\u0648\\u0627\\u0644\\u062b\\u0642\\u0627\\u0641\\u0629.',b'129645',b'511',b'138',b'76674',b'734',b'True',b'False',b'False',b'False',b'2015-01-21 05:39:38'
"b'Ivanka Trump lauds Saudi, UAE on women\\u2019s rights reforms\\n#Law #Latest #LatestLaws #LegalNews #India #IndianNews\\u2026 https://t.co/Caqk0rcHuT'",b'1229311072529608704',b'LatestLaws.com',b'latestlaws',b'India',"b""India's Favourite Legal e-Magazine for Latest Legal News, Articles, Blogs, Case Analysis, Largest free Database of Bare Acts, Rules, Regulations & much more""",b'8622',b'213',b'5',b'17376',b'109',b'False',b'False',b'False',b'False',b'2014-12-10 15:49:14'
b'@RichieFed @IvankaTrump I wish I had my own propaganda film crew...#TrumpCrimeFamily #IvankaTrump',b'1229294503841824768',b'Liz R',b'regan_liz',"b'Los Angeles, CA'",b'Southern Belle who lives on the Left/Best Coast. \\U0001f3dd\\U0001f64f. Mother of PitBulls \\U0001f436 \\u2764\\ufe0fI care...do U? #BlueWave2020\\U0001f3f3\\ufe0f\\u200d\\U0001f308\\U0001f1fa\\U0001f1f8',b'86',b'486',b'1',b'2385',b'7768',b'False',b'False',b'True',b'False',b'2012-09-08 16:58:21'
"b""#IvankaTrump addresses Global Women's Forum in #Dubai https://t.co/zpFX8iGr2A""",b'1229269601973747717',b'Ruptly',b'Ruptly',"b'Berlin, Germany'",b'International video news agency. https://t.co/Yp5ODY7dEk',b'102682',b'547',b'2253',b'101417',b'1439',b'True',b'False',b'False',b'False',b'2012-11-08 12:31:00'
b'@LeesyPeesy @2serve @kimguilfoyle @IvankaTrump @realDonaldTrump #ivankatrump https://t.co/Hz98ag3sEJ',b'1229262343961317376',b'Booboo Kitty',b'CSBBB',b'',"b""I'm a dog...I HAVE no manners...I crap in public and don't clean it up.!!!!""",b'145',b'53',b'30',b'22477',b'402',b'False',b'False',b'True',b'False',b'2009-06-07 05:34:01'
b'Arrest #IvankaTrump  #MoneyLaundering #baku #iran\\n\\nhttps://t.co/o0J7Hfhcxj',b'1229260550023995392',b'Booboo Kitty',b'CSBBB',b'',"b""I'm a dog...I HAVE no manners...I crap in public and don't clean it up.!!!!""",b'145',b'53',b'30',b'22477',b'402',b'False',b'False',b'True',b'False',b'2009-06-07 05:34:01'
b'Larry Kudlow pretends to be an economist and so does #IvankaTrump \\n\\nThe lack of expertise in the @POTUS administrat\\u2026 https://t.co/bt8bb9BbHp',b'1229256683559542785',b'sherry',b'shertno',b'IN   FL',b'Think about the planet you want to leave your children. Democracy is fragile. Willful ignorance is a terrible thing.',b'230',b'292',b'41',b'32023',b'18036',b'False',b'False',b'True',b'False',b'2011-03-17 18:11:06'
"b'\\u201cEvery woman here today has an incredible story ... You are the women who are going to imagine new industries, disc\\u2026 https://t.co/FieJ6RqJ2K'",b'1229254371315077120',b'Arab News',b'arabnews',b'Saudi Arabia',"b'Established in 1975, Arab News is the Middle East\\u2019s leading English language daily.'",b'215780',b'39',b'2283',b'199893',b'6',b'True',b'False',b'False',b'False',b'2009-08-27 02:15:51'
