b'Dear Indian Televisions. Trump is enough. Pls Focus on #DelhiBurning Its literally Burning Man',b'1232290860416372736',b'Niranjan kumar',b'niranjan2428',"b'New Delhi, Delhi, India'","b""journalist based at new delhi.  RT's are not endorsements. strictly personal!!""",b'15440',b'667',b'38',b'13122',b'8393',b'False',b'False',b'False',b'False',b'2012-12-13 15:37:33'
"b'@AshutoshkrUp \\u0917\\u094b\\u0932\\u0940 \\u092e\\u094b\\u0939\\u092e\\u094d\\u092e\\u0926 \\u0936\\u093e\\u0939\\u0930\\u0941\\u0916 \\u0928\\u0947 \\u091a\\u0932\\u093e\\u0908 , \\u092a\\u0925\\u0930\\u093e\\u0935 \\u0914\\u0930 \\u0906\\u0917\\u091c\\u0928\\u0940 \\u091c\\u093e\\u0932\\u0940\\u0926\\u093e\\u0930 \\u091f\\u094b\\u092a\\u0940 \\u0935\\u093e\\u0932\\u094b\\u0902 \\u0928\\u0947 \\u0915\\u093f\\u092f\\u093e !\\n\\n\\u0914\\u0930 \\u0939\\u093f\\u0902\\u0938\\u093e \\u0915\\u0947 \\u0932\\u093f\\u090f \\u0939\\u0928\\u0941\\u092e\\u093e\\u0928 \\u091a\\u093e\\u2026 https://t.co/b8SGP9eoTe'",b'1232290849192652801',b'bhupi sharma',b'bhupisharma13',b'',b'',b'7',b'48',b'0',b'168',b'348',b'False',b'False',b'True',b'False',b'2018-04-09 10:23:31'
b'#DelhiBurning \\n#stopmuslimgenocide \\n#DelhiViolence https://t.co/XA1NJF2sXr',b'1232290845899886592',b'Asiya Arif',b'AsiyaArif5',"b'Trivandrum, India'",b'Living in the history',b'0',b'53',b'0',b'1',b'0',b'False',b'False',b'True',b'False',b'2020-02-25 12:51:38'
b'@OpIndia_com Poor Muslims are are always innocent.\\nMuslims indulged in riots BECAUSE of Kapil Mishra speech\\n\\nMuslim\\u2026 https://t.co/YgiSacSpuq',b'1232290845455310848',b'Hibernating.',b'HibernationON',b'',b'',b'138',b'1749',b'1',b'11136',b'15632',b'False',b'False',b'True',b'False',b'2018-03-25 11:12:29'
"b'As \\u2018liberals\\u2019 blame #KapilMishra for the Delhi anti-CAA riots in #Delhi, here are 6 times when they blamed \\u2018\\u2026 https://t.co/FtFk4UEehJ'",b'1232290837750435841',b'Shivam Dixit',b'shivamdixit_17',"b'Lucknow, India'",b'Proud Indian \\U0001f1ee\\U0001f1f3',b'995',b'583',b'0',b'7136',b'6279',b'False',b'False',b'False',b'False',b'2017-03-21 18:38:28'
"b""Dear Delhi,\\n\\nIt's been 35 years since 1984 and nobody has forgiven you for the horror that YOU let happen.\\n\\nDo not\\u2026 https://t.co/kxMR2G7cu6""",b'1232290824601227265',b'Sherebanu Frosh',b'sherryfrosh',b'Delhi',"b'Mother, mostly. I tweet for my kids. \\nAir pollution | Peace | Global Warming'",b'411',b'309',b'4',b'4165',b'3770',b'False',b'False',b'True',b'False',b'2009-02-12 04:18:28'
b'#DelhiBurning #DelhiViolence -\\n\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0915\\u0940 \\u092e\\u0941\\u0916\\u094d\\u092f\\u092e\\u0902\\u0924\\u094d\\u0930\\u0940 @ArvindKejriwal  \\u0928\\u0947 \\u0939\\u093f\\u0902\\u0938\\u093e \\u092a\\u094d\\u0930\\u092d\\u093e\\u0935\\u093f\\u0924 \\u0907\\u0932\\u093e\\u0915\\u094b\\u0902 \\u0915\\u0947 \\u0935\\u093f\\u0927\\u093e\\u092f\\u0915\\u094b\\u0902 \\u0914\\u0930 \\u0905\\u0927\\u093f\\u0915\\u093e\\u2026 https://t.co/JbyjF9qagp',b'1232290821874958336',b'HS News',b'HSnewsLive',b'',"b""India's oldest news agency, serving in 14 national languages.""",b'14531',b'305',b'22',b'50376',b'451',b'False',b'False',b'False',b'False',b'2011-12-10 13:38:29'
b'#DelhiBurning https://t.co/kAzC8hqLgd',b'1232290820725837827',b'SA',b'SA24388175',b'India',b'A compassionate patriot',b'6',b'117',b'0',b'599',b'2298',b'False',b'False',b'True',b'False',b'2019-07-20 18:14:21'
b'@ArvindKejriwal you went for Votes in these areas of Delhi Can you have the guts to go out .I understand Law and Or\\u2026 https://t.co/nGoSFNIxuW',b'1232290820348207104',b'himanshukakkar',b'himanshukakkar7',b'',b'',b'551',b'1344',b'299',b'2862',b'418',b'False',b'False',b'True',b'False',b'2010-04-19 11:29:27'
b'\\u09a6\\u09bf\\u09b2\\u09cd\\u09b2\\u09bf\\u09a4\\u09c7 \\u09b6\\u09bf\\u09ac\\u09be \\u0993 \\u09a4\\u200d\\u09cd\\u09af\\u09be\\u0997\\u09c0\\u09b0 \\u09ae\\u09be\\u099d\\u0996\\u09be\\u09a8\\u09c7 \\u099c\\u09c1\\u09b2\\u09ab\\u09bf\\u0995\\u09be\\u09b0\\u09c7\\u09b0 \\u09a6\\u09cb\\u0995\\u09be\\u09a8 \\u09ad\\u09c7\\u0999\\u09c7 \\u09a6\\u09c7\\u0993\\u09af\\u09bc\\u09be \\u09b9\\u09af\\u09bc\\u0964\\n\\n\\u0995\\u09be\\u09b0\\u09a3 \\u099c\\u09c1\\u09b2\\u09ab\\u09bf\\u0995\\u09be\\u09b0 \\u099c\\u09a8\\u09cd\\u09ae\\u09b8\\u09c2\\u09a4\\u09cd\\u09b0\\u09c7 \\u09ae\\u09c1\\u09b8\\u09b2\\u09bf\\u09ae...!!\\n\\u09a8\\u09be \\u09b9\\u09bf\\u09a8\\u09cd\\u09a6\\u09c1\\u2026 https://t.co/YdDoNv4qzD',b'1232290818439798784',b'Mamata Banerjee Supporters (FAM)',b'FAM4TMC',b'India',b'\\u099f\\u09c1\\u0987\\u099f\\u09be\\u09b0\\u09c7\\u09b0 \\u09a4\\u09c3\\u09a3\\u09ae\\u09c2\\u09b2 \\u09ae\\u09a8\\u09cb\\u09ad\\u09be\\u09ac\\u09be\\u09aa\\u09a8\\u09cd\\u09a8 \\u09ac\\u09a8\\u09cd\\u09a7\\u09c1\\u09a6\\u09c7\\u09b0 \\u09a6\\u09cd\\u09ac\\u09be\\u09b0\\u09be \\u09aa\\u09b0\\u09bf\\u099a\\u09be\\u09b2\\u09bf\\u09a4 \\u09ab\\u09cd\\u09af\\u09be\\u09ae\\u09c7\\u09b0 \\u099f\\u09c1\\u0987\\u099f\\u09c7\\u09b0 \\u09b9\\u09cd\\u09af\\u09be\\u09a8\\u09cd\\u09a1\\u09c7\\u09b2\\u09c7 \\u09b8\\u09cd\\u09ac\\u09be\\u0997\\u09a4\\u0964\\n\\nThis page is not affiliated to AITC. It is maintained by Supporters.',b'4901',b'155',b'3',b'17907',b'1484',b'False',b'False',b'True',b'False',b'2015-03-06 14:55:19'
