b'Clash breaks out between pro-CAA &amp; anti-CAA protestors as Kapil Mishra warns Delhi Police https://t.co/4a95bWIEPN',b'1231938724847640576',b'Hareem Shah',b'hareemshaw',"b'Punjab, Pakistan'",b'Welcome To AA Business Development Platform\\n#HareemShah\\n#AANEWSNETWORK\\nSubscribe on Youtue:\\nAA NEWS NETWORK: https://t.co/R5Z4vzMnyl\\u2026',b'6362',b'975',b'2',b'4347',b'2581',b'False',b'False',b'True',b'False',b'2012-04-16 10:16:17'
"b'BJP leader Kapil Mishra able to organise pro CAA protest with excellent phrases, there by proved beyond doubt the c\\u2026 https://t.co/huSIMDOwXN'",b'1231938713422200833',b'Md Abbas Mohidden',b'MohiddenAbbas',b'',b'',b'1',b'7',b'0',b'779',b'1',b'False',b'True',b'True',b'False',b'2016-09-03 17:47:28'
b'These are terrifying and grim images from North East Delhi as clashes break out between pro and anti caa protesters\\u2026 https://t.co/uJjOyDpKVm',b'1231938704308088832',b'Jagdish Solanki',b'iJagdishsolanki',"b'Ahmadabad City, India'",b'Self-employed. Activist. Poet\\U0001f4d6. Blogger. Associated with united against hate.Tweet about - politics and social issues. #AgainstCAA . Backup Ac  @ReaLjagdish1',b'2013',b'4490',b'0',b'8832',b'14853',b'False',b'False',b'True',b'False',b'2015-03-14 16:28:44'
"b""'Violence in Delhi Disturbing', Says Rahul Gandhi After Policeman Gets Killed Amid Clash of Pro, Anti-CAA Protester\\u2026 https://t.co/ZJ57JpP7CG""",b'1231938595642060800',b'LatestLY',b'latestly',"b'Mumbai, India'","b'https://t.co/U4rHOvnjZj focuses on the What, When, Who and How of a trending story, and helps readers with analyses that go beyond the domain of news.'",b'54559',b'339',b'82',b'96126',b'68',b'True',b'False',b'False',b'False',b'2017-02-07 05:41:28'
b'Ground Situation in #ChandBag Pro CAA supporters pelting stones on anti CAA protesters. Delhi Police found no where\\u2026 https://t.co/ZsdfGEklpQ',b'1231938574183882752',b'\\u0907\\u092b\\u094d\\u092b\\u0940 \\u092d\\u093e\\u0908',b'Iffidel',b'\\u092e\\u0947\\u0930\\u093e \\u092d\\u093e\\u0930\\u0924 \\u092e\\u0939\\u093e\\u0928 ',b'SM Observer / National & International Politics/Blogger',b'19446',b'838',b'113',b'112131',b'43952',b'False',b'False',b'False',b'False',b'2012-05-18 11:12:16'
"b'Riots in Delhi, no other word to describe it, Pro CAA protestors are rioting and Delhi Police is mute\\n#DelhiPolice\\u2026 https://t.co/d41O8yNWPt'",b'1231938569654038529',b'Dr. Gaurav Garg',b'GauravGarg888',"b'New Delhi, India'","b'Founder of Study IQ, India\\u2019s largest education platform.\\nhttps://t.co/dWSKqZzQnt'",b'16933',b'275',b'11',b'16527',b'6',b'False',b'False',b'True',b'False',b'2017-11-19 19:00:43'
b'@prempanicker @RURALINDIA Pro anti anti.CAA protestor',b'1231938563198971905',b'juvi',b'Metacognitix',b'',"b""duh, special? thankee, sorr! :)  \\n\\nRetweets aren't endorsements k""",b'16',b'180',b'0',b'5629',b'3725',b'False',b'True',b'True',b'False',b'2019-06-21 04:53:01'
b'@aajtak @anjanaomkashyap https://t.co/f5JUz6OJtj\\n#BJP #Sangh #RSS #NRC #CAA #JSR',b'1231938494324465666',b'Aslam Baig \\u0627\\u0633\\u0644\\u0645',b'Aslam_Baig_Mirz',b'Gandhinagar Gujarat India',b'DyCTI western railway;\\nMember Legal (IRTCSO National);\\nJoint Secretary (IRTCSO WR)\\nAnalyst by education',b'3251',b'2809',b'30',b'40224',b'123881',b'False',b'False',b'True',b'False',b'2013-09-14 17:29:42'
"b'A pro CAA group indulges in stone pelting, puts shops on fire and Police fires tear gas on anti CAA protesters and\\u2026 https://t.co/7O5wCzRYkh'",b'1231938421809143808',b'Farhan Khan',b'imfarkhan',"b'New Delhi, India'",b'Petrichor \\u2764\\ufe0f',b'17',b'34',b'0',b'968',b'356',b'False',b'False',b'True',b'False',b'2018-11-29 18:13:12'
b'@VickyKedia @anuragkashyap72 @DelhiPolice He said he will wait untill trump visit but pro caa couldn\\u2019t wait so its actually other way around',b'1231938347146317824',b'Akshat Kumar',b'akshatkumar87',b'New York',b'Consultant | Innovator | Wanderer | Dreamer | Improv artist',b'195',b'300',b'9',b'4639',b'9997',b'False',b'False',b'True',b'False',b'2008-05-13 20:24:29'
"b'A pro CAA group indulges in stone pelting, puts shops on fire and Police fires tear gas on anti CAA protesters and\\u2026 https://t.co/gjIlhXbLQs'",b'1231938313478643712',b'Farhan Khan',b'imfarkhan',"b'New Delhi, India'",b'Petrichor \\u2764\\ufe0f',b'17',b'34',b'0',b'968',b'356',b'False',b'False',b'True',b'False',b'2018-11-29 18:13:12'
b'@SaniaAhmad1111 Pro CAA protesters are blind bigot and bhakts.',b'1231938285045334017',b'\\u0645\\u062d\\u0645\\u062f \\u062e\\u0644\\u064a\\u0642\\U0001f1ee\\U0001f1f3',b'praisedcreator',"b'Hyderabad, India'","b'Animal Lover, Foodie and Love to travel. Football is my First Love. Love and respect others'",b'226',b'1076',b'0',b'17779',b'90431',b'False',b'False',b'True',b'False',b'2016-08-19 21:27:15'
