b'\\u0938\\u094b\\u091a\\u0940 \\u0938\\u092e\\u091d\\u0940 \\u0938\\u093e\\u091c\\u093f\\u0936 \\u0915\\u0947 \\u0924\\u0939\\u0924 \\u091c\\u0932\\u093e\\u092f\\u093e \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0907\\u0928 \\u0915\\u0941\\u0924\\u094d\\u0924\\u094b \\u0928\\u0947...!\\n#DelhiRiots #DelhiBurning #HarHinduKapilMishra\\u2026 https://t.co/y5EIvig49L',b'1232278341639639040',b'Proudy Indian\\U0001f49a',b'azharrbaig',b'',"b'\\u0924\\u0942\\u092b\\u093c\\u093e\\u0928 \\u0915\\u0930 \\u0930\\u0939\\u093e \\u0925\\u093e \\u092e\\u0947\\u0930\\u0947 \\u0905\\u091c\\u094d\\u092e \\u0915\\u093e \\u0924\\u0935\\u093e\\u092b\\n \\u0914\\u0930 \\u0926\\u0941\\u0928\\u093f\\u092f\\u093e \\u0938\\u094b\\u091a \\u0930\\u0939\\u0940 \\u0925\\u0940 \\u0915\\u0947 \\u092e\\u0947\\u0930\\u0940 \\u0915\\u0936\\u094d\\u0924\\u0940 \\u092d\\u0901\\u0935\\u0930 \\u092e\\u0947 \\u0939\\u0948,\\n\\u0939\\u0958 \\u0915\\u0939\\u0924\\u093e \\u0930\\u0939\\u0942\\u0902\\u0917\\u093e \\u091a\\u093e\\u0939\\u0947 \\u091c\\u092e\\u093e\\u0928\\u093e \\u0916\\u093f\\u0932\\u093e\\u092b \\u0939\\u094b \\u091c\\u093e\\u090f,\\n#Proudy_Indian_Muslim'",b'24',b'18',b'0',b'355',b'36',b'False',b'False',b'True',b'False',b'2015-12-01 12:58:52'
"b""@RanaAyyub Right \\nBut Can't ignore it \\n.\\n.\\n \\n.\\n#DelhiRiots #DelhiBurning #DelhiPolice #DelhiCAAClashes #Delhi""",b'1232278339605454860',b'Mohd Shanawaj',b'MohdShanawaj9',"b'Lucknow, India'","b""I'm a Student of CMS-\\U0001f454 \\nLucknow- Uttar Pradesh""",b'7',b'128',b'0',b'78',b'66',b'False',b'False',b'True',b'False',b'2019-12-19 15:31:56'
b'@VoteTheRedOut Uncontrolled social media has to be considered in the #DelhiBurning madness of King(tRump)George? https://t.co/bHpddtsggJ',b'1232278337554440192',b'Raymond Clifford\\U0001f48e',b'transientnumber',b'Rutland VT.',b'#BackRoading in the Best Back Road state this side of the Missouri! #Democrat and proud supporter of #SenatorSanders #VermontBlue 14th State! #VoteBlue!',b'6159',b'6040',b'11',b'78917',b'122294',b'False',b'False',b'True',b'False',b'2009-07-20 23:19:25'
b'From Maujpur Delhi\\n\\nMob breaking the gate of a house &amp; barging in shouting Jai Sri Ram. Hope everyone is ok.\\u2026 https://t.co/m733kM5aM9',b'1232278337445232640',b'Waseem Ahmed \\u0cb5\\u0cb8\\u0cc0\\u0cae\\u0ccd',b'Waseem_Ahmed11',b'Bangalore',"b'I want to tell stories. Fitness trainer. Love Astronomy, Science, Sci-Fi movies, Football, Sociopolitical debates. Follow my Kannada handle @ForeverBLRU'",b'3494',b'1903',b'21',b'13069',b'3697',b'False',b'False',b'False',b'False',b'2012-01-11 22:17:34'
"b'Thread on suggested infighting between @ManojTiwariMP and @KapilMishra_IND, if it is true then @BJP4India shd make\\u2026 https://t.co/zH1BRQGD8g'",b'1232278336874917889',b'Ravi Agarwal',b'raviagarwal108',b'Mumbai and  Rajasthan',"b'Love travel, books of great authors, Sports,Finance, into Politics(as social service),father 2 dolls, Techno Commercial\\U0001f697\\U0001f69a IIT. Here my thoughts, Politics \\U0001f64f'",b'552',b'294',b'2',b'8370',b'44303',b'False',b'False',b'True',b'False',b'2011-12-01 04:27:58'
b'Desh me Aag Lagi di hai BJP RSS walo ne\\n\\nIs Nafrat ki Aag ko Koi Dikhane wala Media Nahi hai \\nSab Godi Media Ban Ch\\u2026 https://t.co/IeDmu0Z7VU',b'1232278317409038336',b'Raza Konen \\u0631\\u0636\\u0627 \\u06a9\\u0648\\u0646\\u06cc\\u0646',b'RazaKonen',b'\\u0938\\u0902\\u0935\\u093f\\u0927\\u093e\\u0928 \\u092c\\u093e\\u0917 \\u0936\\u093e\\u0939\\u0940\\u0928 \\u092c\\u093e\\u0917',b'I Proud to be indian Muslim\\nSachai ke sath \\n  \\nTera Mera Rishta kya La Ilaha Illallah...\\nZindagi ka Maqsad kya La Ilaha Illallah...\\n#WeReject_CAA_NPR_NRC',b'487',b'302',b'0',b'8341',b'9288',b'False',b'False',b'True',b'False',b'2018-05-22 04:32:27'
b'@RanaAyyub \\u091c\\u0939\\u0930 \\u0918\\u094b\\u0932 \\u0915\\u0930 \\u0935\\u094b \\u0915\\u093f\\u0927\\u0930 \\u091c\\u093e \\u0930\\u0939\\u0947 \\u0939\\u0948\\n\\u091c\\u0932\\u093e\\u0915\\u0930 \\u0936\\u0939\\u0930 \\u0935\\u094b \\u0915\\u093f\\u0927\\u0930 \\u091c\\u093e \\u0930\\u0939\\u0947\\u0902 \\u0939\\u0948\\u0902\\n\\u0928\\u093e\\u0930\\u093e \\u091c\\u0947\\u0939\\u093e\\u0926 \\u0915\\u093e \\u092c\\u0941\\u0932\\u0902\\u0926 \\u0915\\u0930\\u0928\\u0947 \\u0935\\u093e\\u0932\\u0947\\n \\u0915\\u0924\\u094d\\u0932 \\u0915\\u0930\\u0928\\u0947 \\u092e\\u093e\\u0938\\u0942\\u2026 https://t.co/IoJwKP0mhx',b'1232278310387929090',b'Aparichit',b'BeingPundit',b'Yamlok',b'Ambi /Remo /Aparichit',b'81',b'156',b'0',b'1552',b'697',b'False',b'False',b'True',b'False',b'2016-11-13 09:26:28'
b'Let him know what\\u2019s happening in street of Delhi\\n\\n#DelhiRiots #DelhiBurning https://t.co/eucwgqrso0',b'1232278309188317216',b'Azmal Hussain \\u0627\\u062c\\u0645\\u0644',b'azmalHkhan',b'New Delhi / Odisha ',b'A travel consultant by profession | free thinker | vivid traveller | views are personal',b'365',b'551',b'0',b'857',b'2143',b'False',b'False',b'False',b'False',b'2012-09-19 11:35:24'
b'\\u0928\\u093e\\u0917\\u0930\\u093f\\u0915\\u0924\\u093e \\u0938\\u0902\\u0936\\u094b\\u0927\\u0928 \\u0915\\u093e\\u0928\\u0942\\u0928 \\u092a\\u0930 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0915\\u0947 \\u0915\\u0908 \\u0907\\u0932\\u093e\\u0915\\u094b\\u0902 \\u092e\\u0947\\u0902 \\u0939\\u093f\\u0902\\u0938\\u0915 \\u091d\\u0921\\u093c\\u092a \\u091c\\u093e\\u0930\\u0940 \\u0939\\u0948\\n\\n\\u092a\\u093e\\u0930\\u094d\\u0937\\u0926 \\u092a\\u094d\\u0930\\u092e\\u094b\\u0926 \\u0917\\u0941\\u092a\\u094d\\u0924\\u093e \\u092e\\u0941\\u0938\\u094d\\u0932\\u093f\\u092e \\u0936\\u0916\\u094d\\u0938 \\u0936\\u093e\\u0939\\u093f\\u0926 \\u0938\\u093f\\u0926\\u094d\\u0926\\u0940\\u2026 https://t.co/LH9Ea456IN',b'1232278305325428737',b'Rahul \\u0aad\\u0ab0\\u0ab5\\u0abe\\u0aa1',b'RahulBWorld',"b'Gujarat, India'",b'kya Likhe Aap hi Bata do',b'611',b'291',b'0',b'1342',b'9696',b'False',b'False',b'True',b'False',b'2011-08-11 06:44:34'
b'Can the media houses stop focusing on modi n trump we are not intrested what defence deal is going to happen or hap\\u2026 https://t.co/xNf5IXURlT',b'1232278304205484034',b'Aatikah shan',b'aatikahshan',"b'New Delhi, India'",b'Be your own hero\\U0001f5e1\\ufe0f\\U0001f6e1\\ufe0f\\nManagement student',b'109',b'165',b'0',b'865',b'1884',b'False',b'False',b'True',b'False',b'2015-05-18 10:08:10'
