"b""I can't take my eyes off you\\nYou'd be like heaven to touch \\U0001f60d\\n\\n#IvankaTrump  #NamasteTrump https://t.co/qFcZPQYJPU""",b'1232220553127182336',b'Tharki Lanister \\uf8ff',b'TharkiLanister',b'India',"b'Creative/UX Designer, Coder, Dancer, Singer & Ex-seafarer. I drink \\U0001f377 and I know things'",b'524',b'3115',b'0',b'2055',b'2959',b'False',b'False',b'False',b'False',b'2019-06-06 19:19:11'
b'#PM_Modi \\u0938\\u093e\\u091d\\u093e \\u092a\\u094d\\u0930\\u0947\\u0938 \\u0935\\u093e\\u0930\\u094d\\u0924\\u093e \\u092e\\u0947\\u0902 \\u092c\\u094b\\u0932\\u0947- \\u0905\\u092e\\u0947\\u0930\\u093f\\u0915\\u093e \\u0924\\u0947\\u0932 \\u0914\\u0930 \\u0917\\u0948\\u0938 \\u0915\\u0947 \\u0932\\u093f\\u090f \\u092c\\u0928\\u093e \\u0905\\u0939\\u092e \\u0938\\u094d\\u0930\\u094b\\u0924\\n#Donaldtrump #BilateralTalks\\u2026 https://t.co/cVkffc6BnW',b'1232220432184381443',b'Surya Samachar',b'SuryaSamachar',"b'Noida, India'",b'Live: https://t.co/pLJ71nmejV   || Ph: 0120-2558247 ||FB : @suryasamachar || YT: c/SuryaSamachar || IG: suryasamachar.official',b'2366',b'190',b'4',b'4480',b'110',b'False',b'False',b'False',b'False',b'2017-03-03 09:17:54'
b'#IvankaTrump goes Desi on Day 2.\\n\\n#Sherwani\\n\\n#AnitaDongre \\n\\n#Fashion\\n\\n#NamasteTrump https://t.co/nY8YjGqyqY',b'1232220421111545856',b'Lakshmi',b'Phantom_Delight',b'India ',"b'Aspirations & Addictions aplenty: Sports (Cricket,  Tennis, Soccer, F1), Gemstones & Jewelry (all),  Numismatics, Fashion, Gadgets, Tech ecosystems, Writing.'",b'3502',b'2936',b'113',b'170019',b'8450',b'False',b'False',b'False',b'False',b'2012-05-22 08:37:10'
b'@IvankaTrump is more beautiful than #TajMahal ..\\u090f\\u0915 \\u0924\\u093e\\u091c \\u0926\\u0942\\u0938\\u0930\\u0947 \\u0924\\u093e\\u091c \\u0915\\u0947 \\u0938\\u093e\\u092e\\u0928\\u0947\\u0964 \\u0928\\u091c\\u0930 \\u0928 \\u0932\\u0917\\u0947\\u0964\\n#TrumpVisitIndia\\u2026 https://t.co/rnVNiYGt1b',b'1232219343959625731',b'Raj Vaish',b'BeingVaishRaj',b'India',"b""CEO of Nandini Apparels ||\\nGeneral Secretary of Young Nation's Youth Foundation(NGO) ||\\nEditor in Ajanta News ||\\n#ProNationalist || #YouthUnity ||""",b'129',b'135',b'5',b'1872',b'1212',b'False',b'False',b'True',b'False',b'2016-05-14 06:25:27'
"b'Ceremonial welcome for Trump, wife at Rashtrapati Bhavan\\n\\nREAD MORE STORIES :\\nDOWNLOAD BEYOND Pink APP NOW :\\nPlay S\\u2026 https://t.co/whNSS0Ucwz'",b'1232218886772158465',b'BEYONDPink',b'BeyondPinkApp',"b'Kerala, India'","b'News and Information in Concise, Curated for Women'",b'218',b'254',b'0',b'2647',b'28',b'False',b'False',b'False',b'False',b'2017-09-01 05:41:18'
b'#DelhiBurning While #TrumpInIndia \\nVictims of #1984SikhGenocide \\nMarch For Justice - \\nFeb 25th - 12:30pm TeenMurti\\u2026 https://t.co/QgXdgYKVt4',b'1232218823203414017',b'H Singh',b'HSingh76837050',b'',b'referendum 2020',b'1',b'0',b'0',b'14',b'5',b'False',b'False',b'True',b'False',b'2020-02-20 00:13:59'
"b'@IvankaTrump \\u0935\\u093e\\u0939 \\u0924\\u093e\\u091c... \\u0924\\u093e\\u091c \\u0928\\u0939\\u0940\\u0902 \\u0926\\u0947\\u0916\\u093e \\u0924\\u094b \\u0907\\u0902\\u0921\\u093f\\u092f\\u093e \\u092e\\u0947\\u0902 \\u0915\\u0941\\u091b \\u0928\\u0939\\u0940\\u0902 \\u0926\\u0947\\u0916\\u093e,\\U0001f60d\\U0001f60d \\n\\n#IvankaTrump'",b'1232218215125786624',b'NAMO..2\\u270c\\U0001f338',b'namo_jm88',b'\\U0001f1ee\\U0001f1f3\\U0001f1ee\\U0001f1f3',b'\\u27a1\\ufe0f \\u092d\\u093e\\u0930\\u0924\\u0940\\u092f \\u0928\\u093e\\u0917\\u0930\\u093f\\u0915  \\U0001f1ee\\U0001f1f3 \\u091c\\u092f \\u0936\\u094d\\u0930\\u0940 \\u0930\\u093e\\u092e \\U0001f6a9',b'723',b'422',b'0',b'1416',b'2116',b'False',b'False',b'True',b'False',b'2019-09-16 05:57:07'
b'#TrumpIndiaVisit #IvankaTrump https://t.co/yC5S7cPsC4',b'1232218059902988288',b'Dr. Rushikesh Trivedi',b'im_drrishi',"b'Ahmadabad City, India'","b'Food Consultant, Metabolic Expert, Nutritionist, Founder of DNA diet By Dr. Rushikesh Trivedi.'",b'1379',b'14',b'4',b'584',b'2729',b'False',b'False',b'False',b'False',b'2011-05-08 10:08:08'
"b'\\u0c36\\u0c4d\\u0c35\\u0c47\\u0c24 \\u0c35\\u0c30\\u0c4d\\u0c23 \\u0c37\\u0c46\\u0c30\\u0c4d\\u0c35\\u0c3e\\u0c28\\u0c40\\u0c32\\u0c4b \\u0c2e\\u0c46\\u0c30\\u0c3f\\u0c38\\u0c3f\\u0c28 \\u0c07\\u0c35\\u0c3e\\u0c02\\u0c15 \\u0c1f\\u0c4d\\u0c30\\u0c02\\u0c2a\\u0c4d: \\u0c2e\\u0c41\\u0c30\\u0c4d\\u0c37\\u0c3f\\u0c26\\u0c3e\\u0c2c\\u0c3e\\u0c26\\u0c4d \\u0c2a\\u0c1f\\u0c4d\\u0c1f\\u0c41\\u0c24\\u0c4b \\u0c21\\u0c3f\\u0c1c\\u0c48\\u0c28\\u0c4d, \\u0c15\\u0c46\\u0c2e\\u0c46\\u0c30\\u0c3e \\u0c15\\u0c33\\u0c4d\\u0c32\\u0c28\\u0c4d\\u0c28\\u0c40 \\u0c06\\u0c2e\\u0c46 \\u0c35\\u0c48\\u0c2a\\u0c47..?\\u2026 https://t.co/6F1RTmit8z'",b'1232217872589410304',b'Oneindia Telugu',b'oneindiatelugu',b'\\u0c2c\\u0c46\\u0c02\\u0c17\\u0c33\\u0c42\\u0c30\\u0c41',b'\\u0c21\\u0c3f\\u0c1c\\u0c3f\\u0c1f\\u0c32\\u0c4d \\u0c2e\\u0c40\\u0c21\\u0c3f\\u0c2f\\u0c3e\\u0c32\\u0c4b \\u0c35\\u0c28\\u0c4d\\u0c07\\u0c02\\u0c21\\u0c3f\\u0c2f\\u0c3e \\u0c35\\u0c3f\\u0c36\\u0c3f\\u0c37\\u0c4d\\u0c1f\\u0c2e\\u0c48\\u0c02\\u0c26\\u0c3f. \\u0c2a\\u0c4d\\u0c30\\u0c2a\\u0c02\\u0c1a\\u0c35\\u0c4d\\u0c2f\\u0c3e\\u0c2a\\u0c4d\\u0c24\\u0c02\\u0c17\\u0c3e \\u0c38\\u0c02\\u0c2d\\u0c35\\u0c3f\\u0c02\\u0c1a\\u0c47 \\u0c38\\u0c02\\u0c18\\u0c1f\\u0c28\\u0c32\\u0c28\\u0c41 \\u0c05\\u0c24\\u0c3f \\u0c35\\u0c47\\u0c17\\u0c02\\u0c17\\u0c3e \\u0c2e\\u0c40 \\u0c35\\u0c47\\u0c33\\u0c4d\\u0c32 \\u0c15\\u0c4a\\u0c38\\u0c32\\u0c24\\u0c4b \\u0c1a\\u0c42\\u0c2a\\u0c3f\\u0c38\\u0c4d\\u0c24\\u0c41\\u0c02\\u0c26\\u0c3f \\u0c35\\u0c28\\u0c4d\\u0c07\\u0c02\\u0c21\\u0c3f\\u0c2f\\u0c3e \\u0c24\\u0c46\\u0c32\\u0c41\\u0c17\\u0c41.',b'14144',b'431',b'536',b'243720',b'372',b'False',b'False',b'False',b'False',b'2008-12-17 10:17:45'
b'supressing the voices against their #corruption is very easy for them\\n\\n#share\\n#IvankaTrump\\n#TrumpVisitIndia\\u2026 https://t.co/S5OHClpIow',b'1232217773385887744',b'CovidNaren',b'CovidNaren',b'',"b'they will suspend your account, if you complaint against them_co%vi#d19_na&ren.....na+re/nsp#ear/e'",b'0',b'25',b'0',b'26',b'0',b'False',b'False',b'True',b'False',b'2020-02-16 09:46:20'
