b'#DelhiBurning \\n#Jafrabad \\n#Maujpur \\n#ShaheenBagh \\n#JamiaMilliaIslamia \\n#JNU \\n#ShameOnDelhiPolice\\u2026 https://t.co/aKRvGca3jB',b'1232081540135305217',b'shadab raza',b'pareshan_archi',b'new delhi',b'architect under construction',b'139',b'374',b'0',b'6446',b'1987',b'False',b'False',b'False',b'False',b'2009-12-20 20:18:21'
b'\\u0907\\u0927\\u0930 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092e\\u0947\\u0902 \\u091c\\u093f\\u0939\\u093e\\u0926\\u0940 \\u0924\\u093e\\u0902\\u0921\\u0935 \\u0914\\u0930\\n\\u0909\\u0927\\u0930 \\u0905\\u0939\\u092e\\u0926\\u093e\\u092c\\u093e\\u0926 \\u092e\\u0947\\u0902 \\u0907\\u0938\\u094d\\u0932\\u093e\\u092e\\u0940 \\u0906\\u0924\\u0902\\u0915 \\u0915\\u0947 \\u0916\\u093f\\u0932\\u093e\\u092b \\u0938\\u093e\\u091d\\u093e \\u0932\\u0921\\u093c\\u093e\\u0908 \\u0915\\u0940 \\u091f\\u094d\\u0930\\u092e\\u094d\\u092a-\\u0918\\u094b\\u0937\\u0923\\u093e! \\u0905\\u092d\\u0940 \\u092c\\u0939\\u0941\\u0924 \\u0915\\u0941\\u091b \\u092c\\u093e\\u0915\\u0940\\u2026 https://t.co/eYubuCBu7T',b'1232081301496356865',b'Prof C P Singh',b'cpsinghji',"b'NCR, India'",b'I dream of an education system that stops producing India-hating copycats.',b'1445',b'170',b'12',b'16898',b'12229',b'False',b'False',b'True',b'False',b'2013-09-09 17:42:14'
"b'#DelhiBurning \\u090f\\u0915 \\u092a\\u0941\\u0932\\u093f\\u0938 \\u0915\\u093e \\u091c\\u0935\\u093e\\u0928 \\u092e\\u093e\\u0930\\u093e \\u091c\\u093e\\u0924\\u093e \\u0939\\u0948, \\u091c\\u094b \\u0905\\u092a\\u0928\\u093e \\u0915\\u0930\\u094d\\u0924\\u094d\\u0924\\u0935\\u094d\\u092f \\u0928\\u093f\\u092d\\u093e \\u0930\\u0939\\u093e \\u0925\\u093e, \\u0909\\u0938\\u0915\\u0947 \\u0918\\u0930 \\u092a\\u0947 \\u0915\\u094d\\u092f\\u093e \\u092c\\u0940\\u0924 \\u0930\\u0939\\u0940 \\u0939\\u094b\\u0917\\u0940 \\u0914\\u0930 \\u0926\\u0902\\u0917\\u093e \\u0915\\u0930\\u2026 https://t.co/uyPSPZsE97'",b'1232081288258977793',b'Ashish Gautam Niranjan',b'ashishtiwari77',"b'Raipur, India'","b'We believe, We are secular, so one rule book for everyone, We support #UniformCivilCode'",b'96',b'574',b'0',b'835',b'1912',b'False',b'False',b'True',b'False',b'2011-09-20 06:38:48'
b'His name is Shahrukh and He is a radical islamic terrorist.\\n\\n#DelhiViolence #DelhiBurning #DelhiPolice https://t.co/CNMEfpU9ho',b'1232081225021607936',b'Sri',b'srdh21',b'United States',b'',b'184',b'757',b'2',b'14140',b'7286',b'False',b'False',b'False',b'False',b'2010-08-12 18:15:38'
b'@YashTya17826999 Once a butcher \\nAlways a butcher \\n#Modi #DelhiBurning',b'1232081198429724672',b'Faraz Ali \\U0001f3ad',b'alifaraz_90',b'Karachi',b'I wish I had something good to tell.',b'90',b'196',b'0',b'1122',b'7231',b'False',b'False',b'True',b'False',b'2016-07-08 21:55:41'
"b'The reality of peaceful protesters of Shaheen Bagh is finally out.\\nMeanwhile For Barkha Dutt, these are just misgui\\u2026 https://t.co/rQlw9DYRMS'",b'1232081159049187328',b'Brijesh Kumar',b'BrijeshKumarA19',b'Mau -India',b'Jai Hind \\U0001f1ee\\U0001f1f3 I Love India\\n\\u092d\\u093e\\u0930\\u0924 \\u092e\\u093e\\u0924\\u093e \\u0915\\u0940 \\u091c\\u092f',b'4',b'183',b'0',b'539',b'599',b'False',b'False',b'True',b'False',b'2019-08-24 19:43:58'
b'#Muslims are newsworthy only when they are villians and not victims\\n#DelhiBurning #DelhiViolence #ShameOnDelhiPolice https://t.co/JrU8LG5JC0',b'1232081152854220802',b'Shams Khan',b'ShamsKh60519745',b'',b'thinker\\nlistener\\nrebellion',b'13',b'182',b'0',b'22',b'47',b'False',b'False',b'True',b'False',b'2019-07-02 21:15:06'
"b'Anti-CAA protestors have been protesting for 2 months. There was no violence until each time the so-called ""Pro-CAA\\u2026 https://t.co/Mle4xvUsYP'",b'1232081032117047298',b'Muzammil',b'OmuzammilO',"b'Hyderabad, \\U0001f1ee\\U0001f1f3 India'","b'A Muslim, A Indian \\U0001f1ee\\U0001f1f3'",b'10',b'57',b'0',b'31',b'60',b'False',b'False',b'True',b'False',b'2016-02-29 16:50:32'
b'Save Delhi. #CAA_NRC_NPR #Delhi #DelhiBurning #DelhiViolence https://t.co/Pzv4fEdxfP',b'1232080998365646850',b'Prerna Arora',b'PArora07',b'',b'Lawyer/ Entrepreneur/Media enthusiast/ Politics/ MS Fighter/ Dance & Drama/ amateur Badminton/caregiver to house plants. \\n Insta Handle- Prernaa7',b'13',b'68',b'0',b'57',b'18',b'False',b'False',b'True',b'False',b'2019-09-05 04:47:40'
b'Indian Police and Fascism. #DelhiBurning #DelhiRiots #DelhiPolice #Bhajanpura #DelhiViolence #CAAProtest https://t.co/e8H0DZYfMm',b'1232080989498703872',b'Media Watch',b'Realitybytes51',b'',"b'Watching Global News, Media. Geopolitics. Trying to read between the lines, highlight, contradiction & agendas. For Honest unbiased Journalists & media watchers'",b'1620',b'139',b'35',b'24852',b'13094',b'False',b'False',b'True',b'False',b'2014-06-04 08:38:43'
b'2002 \\u0926\\u0947\\u0916\\u093e \\u0938\\u092c\\u0928\\u0947 \\u0905\\u092c 2020 \\u092d\\u0940 \\u0926\\u0947\\u0916 \\u0930\\u0939\\u0947 \\u0939\\u0948\\u0902\\u0964 \\u092b\\u0930\\u094d\\u0915 \\u0925\\u094b\\u0921\\u093c\\u093e \\u0938\\u093e \\u0939\\u0940 \\u0939\\u0948\\u0964  \\u0926\\u094b \\u0932\\u094b\\u0917 \\u0909\\u0927\\u0930 \\u0938\\u0947 \\u0907\\u0927\\u0930 \\u0906 \\u0917\\u090f \\u0939\\u0948\\u0902 \\u092c\\u0938\\u0964 \\u0914\\u0930 \\u0909\\u0928\\u0915\\u094b \\u0936\\u0930\\u094d\\u092e \\u0924\\u094b \\u092c\\u093f\\u0932\\u094d\\u0915\\u0941\\u0932\\u2026 https://t.co/6P8p8PqvCI',b'1232080924109488128',b'Gufran',b'gufran_one',b'NEW DELHI',b'\\u0907\\u0902\\u0938\\u093e\\u0928\\u093f\\u092f\\u0924 \\u0939\\u0940 \\u0907\\u0902\\u0938\\u093e\\u0928 \\u0915\\u0940 \\u0938\\u092c\\u0938\\u0947 \\u092c\\u0921\\u093c\\u0940 \\u0915\\u092e\\u093e\\u0908 \\u0939\\u0948 \\u092f\\u0947 \\u0928\\u0939\\u0940\\u0902 \\u0924\\u094b \\u0915\\u0941\\u091b \\u0928\\u0939\\u0940\\u0902 \\u0938\\u092c \\u0915\\u0941\\u091b \\u0930\\u0939\\u0924\\u0947 \\u0939\\u0941\\u090f\\u0964',b'17',b'124',b'0',b'452',b'424',b'False',b'False',b'True',b'False',b'2013-10-26 19:27:14'
