b'#DelhiBurning #DelhiPolice pelting stones on protesters',b'1232023206132760576',b'abdus samad',b'abdussa60285404',b'',b'',b'18',b'150',b'0',b'570',b'86',b'False',b'False',b'True',b'False',b'2015-07-10 06:38:52'
b'\\u092a\\u093e\\u0928\\u0940 \\u0924\\u094b \\u092b\\u094d\\u0930\\u0940 \\u0939\\u0948 \\u0928\\u093e \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0935\\u093e\\u0932\\u094b\\u0902 \\n\\u091c\\u094b \\u0906\\u0917 \\u0932\\u0917\\u0940 \\u0939\\u0948 \\u0909\\u0938\\u092e\\u0947\\u0902 \\u0921\\u093e\\u0932 \\u0926\\u094b\\u0964\\n#DelhiPolice #DelhiBurning #DelhiRiots #DelhiViolence',b'1232023202186047490',b'Himanshu Singh Vishen',b'hsinghvishen',b'Chandigarh',b'Proud indian..\\nBe Strong...Be Brave..\\n\\u0927\\u0930\\u094d\\u092e\\u094b\\u0902 \\u0930\\u0915\\u094d\\u0937\\u0924\\u093f \\u0930\\u0915\\u094d\\u0937\\u093f\\u0924\\u0903',b'30',b'181',b'0',b'149',b'1852',b'False',b'False',b'True',b'False',b'2014-08-30 12:25:11'
b'@_sabanaqvi Chori upse se sena jori\\n\\nSuar ke pille \\n\\nPehle dange karo ab victim card khelo.. (Perfect definition of\\u2026 https://t.co/y1moKs3Eqz',b'1232023199048556544',b'Intolerant-Vendetta',b'IntoleranIndian',"b'New Delhi, India'","b'\\u0905\\u0916\\u0923\\u094d\\u0921 \\u092d\\u093e\\u0930\\u0924 | \\u0915\\u0948\\u0932\\u093e\\u0936\\u0940 | \\u0928\\u092e\\u094b \\u092d\\u0915\\u094d\\u0924\\nIndia must stand before the world as a self-confident, resurgent and mighty nation\\n#MandirWahinBanayenge'",b'218',b'478',b'2',b'3133',b'1954',b'False',b'False',b'False',b'False',b'2015-11-04 19:58:41'
"b'This is a delhi police, \\n\\n#DelhiPolice https://t.co/pWiGVivuBX'",b'1232023185685700608',b'\\u0926\\u0947\\u0936 \\u0915\\u0940 \\u0906\\u0935\\u093e\\u091c\\U0001f5e8\\ufe0f',b'madeforeach',"b'Gorakhpur, India'","b'F & B Cost Controller\\nHotel Industry-Abroad\\n\\n*\\u092f\\u0947 \\u0938\\u0921\\u093c\\u0915\\u0947 \\u0939\\u092e\\u093e\\u0930\\u0940 \\u0906\\u092a\\u0915\\u0940,^\\u0928\\u0939\\u0940\\u0902 \\u0915\\u093f\\u0938\\u0940 \\u0915\\u0947 \\u092c\\u093e\\u092a \\u0915\\u0940\\u0964 \\u092f\\u0947 \\u0926\\u0947\\u0936 \\u0939\\u092e\\u093e\\u0930\\u093e \\u0906\\u092a\\u0915\\u093e, \\u0928\\u0939\\u0940\\u0902 \\u0915\\u093f\\u0938\\u0940 \\u0915\\u0947 \\u092c\\u093e\\u092a \\u0915\\u093e\\u0965*'",b'254',b'754',b'0',b'7268',b'14519',b'False',b'False',b'False',b'False',b'2014-07-16 17:03:35'
b'Dalli police sorry #DelhiPolice',b'1232023180828540928',b'Adz\\xe9 Faizan',b'FaizanAdze',"b'Hyderabad,Deccan'",b'Indian Muslim \\U0001f1ee\\U0001f1f3 || Salafi  || Hyderabadi || CIVIL ENGINEER \\U0001f3d7\\ufe0f|| Political Observer || Urdu Poetry Lover',b'312',b'742',b'3',b'9482',b'19087',b'False',b'False',b'False',b'False',b'2013-07-28 12:44:50'
b'Shame on @ArvindKejriwal @msisodia @raghav_chadha @AtishiAAP @SanjayAzadSln #DelhiPolice #DelhiBurning #AAP https://t.co/npAeFItxRR',b'1232023171261325312',b'\\u062a\\u0646\\u0632\\u06cc\\u0644 \\u0627\\u062d\\u0645\\u062f \\u0635\\u062f\\u06cc\\u0642\\u06cc : Tanzeel',b'tanzysiddiqui',"b'New Delhi, India'",b'You can love your country without having to love your government - Paulo Coelho',b'49',b'239',b'1',b'3932',b'7786',b'False',b'False',b'False',b'False',b'2014-06-18 01:43:22'
"b'The official encouragement of Hindutva extremism, and a largely complicit #DelhiPolice, has led to this massacre.\\nA\\u2026 https://t.co/0BUSBH6Hld'",b'1232023165435596802',b'shan kazmi\\U0001f1ee\\U0001f1f3\\u2764\\ufe0f',b'Kazmi1Kazmi',b'New delhi',b'\\U0001f449Thug life started since 17 Oct..\\U0001f60e\\n\\n\\U0001f449 \\U0001f3a7 Need my daily dose of music\\U0001f3bb\\n\\U0001f449 \\U0001f607 Izzat doge izzat milegi',b'77',b'42',b'0',b'507',b'272',b'False',b'False',b'False',b'False',b'2013-09-16 16:14:35'
"b""It's 24 February 2020. And we are witnessing what @KapilMishra_IND announced before election.\\nThe show was schedule\\u2026 https://t.co/1BzpW8zGr4""",b'1232023147752325125',b'Wise Blunder \\U0001f920',b'MSDian_banna07',b'India',"b'Poet| Writer| Design Mechanical Engineer| HyperNationalist\\U0001f1ee\\U0001f1f3| Defence Aspirant | No BJP/Congress,only ARMED FORCES| SSB \\u0926\\u093f\\u092f\\u093e \\u0939\\u0948,\\u091c\\u093e\\u0902 \\u092d\\u0940 \\u0926\\u0947\\u0902\\u0917\\u0947 \\u0910 \\u0935\\u0924\\u0928 \\u0924\\u0947\\u0930\\u0947 \\u0932\\u093f\\u090f\\u0964'",b'92',b'65',b'1',b'3488',b'57711',b'False',b'False',b'True',b'False',b'2015-09-26 20:01:25'
"b'\\u0939\\u093e\\u091c\\u0940 \\u0924\\u093e\\u0939\\u093f\\u0930 \\u0928\\u093f\\u0917\\u092e \\u092a\\u093e\\u0930\\u094d\\u0937\\u0926 \\u092e\\u0941\\u0938\\u094d\\u0924\\u092b\\u093e\\u092c\\u093e\\u0926, \\u0915\\u0947 \\u0918\\u0930 \\u0915\\u094b \\u091a\\u093e\\u0930\\u094b\\u0902 \\u0924\\u0930\\u092b \\u0938\\u0947 \\u0918\\u0947\\u0930\\u093e \\u0939\\u0941\\u0906 \\u0939\\u0948, \\n@DelhiPolice @CPDelhi \\u092a\\u094d\\u0932\\u0940\\u091c\\u093c \\u0915\\u0941\\u091b \\u0915\\u0940\\u091c\\u093f\\u090f \\u0935\\u0930\\u0928\\u093e\\u2026 https://t.co/A1K2miId3p'",b'1232023133466583045',b'Tosif sherani',b'tosif_sherani',"b'Mumbai, India'",b'\\u092c\\u0938 \\u091c\\u0941\\u0930\\u094d\\u092e \\u0907\\u0924\\u0928\\u093e \\u0939\\u0948 \\u092e\\u0947\\u0930\\u093e \\u0915\\u093f \\u092e\\u0941\\u0938\\u0932\\u092e\\u093e\\u0928 \\u0939\\u0942\\u0901 \\u092e\\u0948\\u0902',b'78',b'147',b'1',b'870',b'1434',b'False',b'False',b'True',b'False',b'2017-04-20 09:25:32'
"b'\\u0907\\u0938 \\u0924\\u0938\\u094d\\u0935\\u0940\\u0930 \\u0915\\u094b \\u0926\\u0947\\u0916\\u093f\\u090f, 9 \\u0938\\u093e\\u0932 \\u0915\\u093e \\u090f\\u0915 \\u092c\\u0947\\u091f\\u093e \\u0914\\u0930 2 \\u092c\\u0947\\u091f\\u093f\\u092f\\u093e\\u0902 \\u0928\\u091c\\u093c\\u0930 \\u0906\\u0908\\u0902?\\n\\u091c\\u093f\\u0938 \\u0939\\u0947\\u0921 \\u0915\\u0949\\u0928\\u094d\\u0938\\u094d\\u091f\\u0947\\u092c\\u0932 #RattanLal \\u0915\\u0940 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0939\\u093f\\u0902\\u0938\\u093e \\u092e\\u0947\\u0902 \\u0906\\u091c \\u092e\\u094c\\u2026 https://t.co/21wZlRZTW5'",b'1232023130895454209',b'Krishnaraj Singh',b'Krishna00813102',"b'Indore, India'",b'I Am A  socialist',b'117',b'844',b'0',b'1829',b'2673',b'False',b'False',b'True',b'False',b'2019-08-03 20:03:00'
