"b""My TL is filled with the disturbing videos of #DelhiBurning. Can't see.""",b'1232039247915307008',b'Dhaval Mehta',b'iamdhaval29',b'India',b'music. movies. travel. politics. sports. SRKIAN. CSK fan. Indian \\U0001f1ee\\U0001f1f3. I tweet what I feel.',b'764',b'1222',b'2',b'43203',b'26421',b'False',b'False',b'True',b'False',b'2016-10-06 13:56:46'
b'Trump speech @realDonaldTrump @narendramodi @VikasVe40501958 #NamasteyTrump #TrumpIndiaVisit #tajmahal #DelhiPolice\\u2026 https://t.co/s7A3VtvqHR',b'1232039242148089856',b'Vikas Verma',b'VikasVe40501958',"b'Varanasi, India'",b'Former CEO https://t.co/G75FT1bSbi digital marketer and marketing manager of https://t.co/lT2cRdDk7m #Traveller Vlogger \\U0001f1ee\\U0001f1f3\\U0001f1f2\\U0001f1fb\\U0001f3f4\\U000e0067\\U000e0062\\U000e0065\\U000e006e\\U000e0067\\U000e007f\\U0001f1fa\\U0001f1f2\\U0001f1ec\\U0001f1f7\\U0001f1e8\\U0001f1ed\\U0001f1ec\\U0001f1ea\\U0001f1ee\\U0001f1f9\\U0001f331',b'70',b'128',b'0',b'2558',b'5022',b'False',b'False',b'True',b'False',b'2017-06-28 05:57:34'
b'@_YogendraYadav @DelhiPolice #DelhiBurning\\n#\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940_\\u092e\\u0947\\u0902_\\u0938\\u0902\\u092f\\u094b\\u0917_\\u092f\\u093e_\\u092a\\u094d\\u0930\\u092f\\u094b\\u0917 https://t.co/sXAzInrTdk',b'1232039236280315904',b'\\u0909\\u0926\\u094d\\u092d\\u094d\\u0930\\u093e\\u0902\\u0924 \\u091c\\u093f\\u091c\\u094d\\u091e\\u093e\\u0938\\u0941',b'Divyeshj193',"b'Rajasthan, India'",b'\\u092e\\u0948\\u0902 \\u090f\\u0915 \\u092e\\u093e\\u0928\\u0935 \\u0939\\u0942\\u0901 \\u0914\\u0930 \\u091c\\u094b \\u0915\\u0941\\u091b \\u092d\\u0940 \\u092e\\u093e\\u0928\\u0935\\u0924\\u093e \\u0915\\u094b \\u092a\\u094d\\u0930\\u092d\\u093e\\u0935\\u093f\\u0924 \\u0915\\u0930\\u0924\\u093e \\u0939\\u0948 \\u0909\\u0938\\u0938\\u0947 \\u092e\\u0941\\u091d\\u0947 \\u092e\\u0924\\u0932\\u092c \\u0939\\u0948\\u0964 \\n#\\u092d\\u0917\\u0924\\u0938\\u093f\\u0902\\u0939',b'54',b'45',b'0',b'1163',b'8408',b'False',b'False',b'True',b'False',b'2017-10-21 10:16:54'
b'See The Difference \\n#DelhiBurning https://t.co/NNbyOvv8Sa',b'1232039177832861698',b'Shafak Zahra \\U0001f341\\U0001f1f5\\U0001f1f0',b'SyedashafakPTI',b'Muzaffarabad',b'ExPresident ISF WomenYouthWing UAJK Intrested In Socializing Making Pakistan a Better Place.A Kashmiri and Proud Pakistani/ Sociologist/Social Activist / PTISMT',b'206',b'271',b'1',b'4934',b'5966',b'False',b'False',b'True',b'False',b'2017-05-03 19:51:02'
b'#DelhiBurning \\n\\nWho do you blame? (A Thread)',b'1232039175848783873',b'Mekhala Saran',b'mekhala_saran',b'',"b'Actor, Journalist, Law Student, Poet.'",b'562',b'110',b'1',b'418',b'302',b'False',b'False',b'True',b'False',b'2016-06-07 06:08:00'
b'@abhisar_sharma \\u0938\\u0921\\u093c\\u0915 \\u0915\\u093f\\u0938\\u0928\\u0947 \\u091c\\u093e\\u092e \\u0915\\u0940? \\u092a\\u0925\\u0930\\u093e\\u0935 \\u0915\\u093f\\u0938\\u0928\\u0947 \\u0915\\u093f\\u092f\\u093e? \\u0906\\u0917\\u091c\\u0928\\u0940 \\u0915\\u093f\\u0938\\u0928\\u0947 \\u0915\\u0940 ? \\u0907\\u0928 \\u0938\\u0935\\u093e\\u0932\\u094b\\u0902 \\u0915\\u093e \\u090f\\u0915 \\u0939\\u0940 \\u091c\\u0935\\u093e\\u092c \\u0939\\u0948 #AntiCAAprotests\\u2026 https://t.co/kiR3fwITds',b'1232039137752080386',b'Vivek kumar\\U0001f1ee\\U0001f1f3',b'libravkc',b'\\u0939\\u093f\\u0902\\u0926\\u0941\\u0938\\u094d\\u0924\\u093e\\u0928',"b'\\u0938\\u094d\\u0935\\u092f\\u0902\\u0938\\u0947\\u0935\\u0915, \\u0930\\u093e\\u0937\\u094d\\u091f\\u094d\\u0930\\u0940\\u092f \\u0938\\u094d\\u0935\\u092f\\u0902\\u0938\\u0947\\u0935\\u0915 \\u0938\\u0902\\u0918, \\u0905\\u0939\\u093f\\u0902\\u0938\\u093e \\u092a\\u0930\\u092e\\u094b \\u0927\\u0930\\u094d\\u092e\\u0903 \\u0927\\u0930\\u094d\\u092e \\u0939\\u093f\\u0902\\u0938\\u093e \\u0924\\u0925\\u0948\\u0935 \\u091a: l followed by @imamofpeace  Blocked by @LambaAlka'",b'106',b'358',b'0',b'2620',b'18490',b'False',b'False',b'True',b'False',b'2011-12-22 03:26:31'
b'@ArvindKejriwal @msisodia  Whats happening in #Delhi plz do something \\n#ArrestTerroristKapilMishra #DelhiBurning #DelhiViolence',b'1232039094688993280',b'Farhan Khan',b'FarhanK67193193',"b'Mumbai, India'","b'BMM Student, Photography, Future Journalist,'",b'5',b'251',b'0',b'207',b'444',b'False',b'False',b'True',b'False',b'2019-12-04 17:05:30'
b'#DelhiViolence #DelhiBurning \\n#Maujpur #Bhajanpura #RadicalIslamicTerrorism https://t.co/TlLpahWEbE',b'1232039088330547200',b'Siddharth Rao',b'007Siddharthrao',"b'Uttar Pradesh, India'",b'mechanical engineer',b'42',b'22',b'2',b'1101',b'546',b'False',b'False',b'False',b'False',b'2014-11-12 08:19:42'
b'@ArvindKejriwal sir #Delhiburning do something! Otherwise shame on you! You are the Godaamn Chief Minister of Delhi\\u2026 https://t.co/RXuDf8rnpf',b'1232039072736169984',b'Mohammad Kashan Khan',b'Warriorkhan007',"b'Abu Dhabi, United Arab Emirates'","b'I am an Advertising Professional @ Gulf News. Originally from Lucknow, India.'",b'11',b'177',b'0',b'159',b'284',b'False',b'False',b'True',b'False',b'2019-06-05 21:09:29'
b'18 Years Challenge \\n#DelhiViolence\\n#DelhiBurning https://t.co/BD7Z8C0WKN',b'1232039052901310472',b'Bilal Tawakkal \\U0001f1f5\\U0001f1f0',b'BilalTawakkal',"b'Lahore, Pakistan'",b'CA Finalist      \\n|I will never be a well behaved man|',b'6532',b'7006',b'0',b'2172',b'6786',b'False',b'False',b'True',b'False',b'2018-05-24 15:46:15'
