b'This man \\u2665\\ufe0f\\n\\n#CAAProtest #GoBackTrump \\n\\nhttps://t.co/fRsoFDQTeR',b'1231930274553839616',b'Irfath Sameeth',b'Irfath_Sameeth',"b'Bengaluru South, India'",b'',b'29',b'291',b'0',b'81',b'1431',b'False',b'False',b'True',b'False',b'2017-09-08 01:57:41'
b'We value and understand importance of friendship with US but our friendship shudnt be considered as submissions..\\u2026 https://t.co/xlsbkXde6u',b'1231930204752187397',b'Sanket V Garg',b'SanketVGarg',b'',"b'History Buff and likes to read and explore history, politics, and economics. Into current geopolitical affairs and Technology updates.'",b'77',b'282',b'1',b'4052',b'1275',b'False',b'False',b'True',b'False',b'2011-07-10 10:19:13'
"b'\\u092e\\u0947\\u0930\\u093e \\u0926\\u0947\\u0936\\u0964\\n\\u0935\\u094b \\u0926\\u0947\\u0936 \\u091c\\u094b \\u0917\\u093e\\u0902\\u0927\\u0940 \\u0914\\u0930 \\u092d\\u0917\\u0924 \\u0915\\u0947 \\u0938\\u093f\\u0926\\u094d\\u0927\\u093e\\u0902\\u0924\\u094b \\u092a\\u0947 \\u092c\\u0938\\u093e \\u0939\\u0948\\u0964\\n\\u0935\\u094b \\u0926\\u0947\\u0936 \\u091c\\u093f\\u0938\\u0915\\u0947 \\u0938\\u094d\\u0935\\u0924\\u0902\\u0924\\u094d\\u0930 \\u0938\\u0947\\u0928\\u093e\\u0928\\u093f\\u092f\\u094b\\u0902 \\u0928\\u0947 \\u0915\\u0932\\u092e \\u0932\\u0947\\u0915\\u0930 \\u0906\\u0917\\u0947 \\u092c\\u0922\\u093c\\u0947, \\n\\u0926\\u0947\\u2026 https://t.co/I6VC0TrS6c'",b'1231930202160128002',b'Viraj Singh',b'thesovietguy0',b'',"b'Politically Incorrect \\U0001f338\\nHumanist. Ambedkarite. \\n\\u092e\\u0948 \\u0918\\u093e\\u0938 \\u0939\\u0942\\u0902, \\u0924\\u0941\\u092e\\u094d\\u0939\\u093e\\u0930\\u0947 \\u0939\\u0938 \\u0915\\u093f\\u090f - \\u0927\\u0930\\u0947 \\u092a\\u0930 \\u0909\\u0917 \\u0906\\u090a\\u0902\\u0917\\u093e\\u0964'",b'1',b'28',b'0',b'8',b'5',b'False',b'False',b'True',b'False',b'2020-02-12 11:03:07'
b'Terrorist are present as anti-caa protestors &amp; and hv improvised their strategy. Instead of blowing themselves up t\\u2026 https://t.co/l4IId8wxuA',b'1231930143712665600',b'Shrutikar Abhijit Sharmah',b'tilashwarang',b'guwahati',b'Public Policy & Strategic Affairs Enthusiast || VKV Alumni || Cultural Nationalist || Amateur writer||',b'321',b'791',b'3',b'1961',b'1745',b'False',b'False',b'True',b'False',b'2011-05-22 11:06:40'
"b'@RahulGandhi \\u0938\\u0902\\u0918\\u0940 \\u0906\\u0924\\u0902\\u0915\\u093f\\u092f\\u094b \\u0915\\u0947 \\u0938\\u093e\\u0925 \\u092e\\u093f\\u0932\\u0915\\u0930 \\u0935\\u091c\\u093c\\u0940\\u0930\\u093e\\u092c\\u093e\\u0926 \\u092e\\u0947\\u0902 \\u092a\\u0924\\u094d\\u0925\\u0930\\u092c\\u093e\\u091c\\u0940 \\u0915\\u0930\\u0924\\u0940 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092a\\u0941\\u0932\\u093f\\u0938,\\n\\u0938\\u0930\\u0915\\u093e\\u0930 \\u0906\\u0924\\u0940 \\u091c\\u093e\\u0924\\u0940 \\u0930\\u0939\\u0947\\u0902\\u0917\\u0940 \\u0932\\u0947\\u0915\\u093f\\u0928 \\u0926\\u093f\\u0932\\u094d\\u2026 https://t.co/KdlCug2cPf'",b'1231929980981919744',b'Zakir Ali Tyagi',b'ZakirAliTyagi',"b'New Delhi, India'","b'Journalist,Social Worker,Motivational Speaker and Social Activist,Writer.Fact finder,ground reporter.thank you twitter.'",b'10425',b'337',b'2',b'6007',b'61018',b'False',b'False',b'True',b'False',b'2017-01-25 02:54:42'
b'Delhi condition is exactly like what happened during Gujarat riots.\\n\\n@AamAadmiParty @ArvindKejriwal @msisodia\\u2026 https://t.co/aB7GGaBrUG',b'1231929967308689408',b'\\u0cb8\\u0cb2\\u0cbe\\u0cb9\\u0ccd/\\u0635\\u0644\\u0627\\u062d',b'Salah_kaar',b'Omnipresent',b'Enigma!!!\\n\\nEl Derecho vivir en Paz',b'35',b'311',b'13',b'1124',b'1806',b'False',b'False',b'False',b'False',b'2012-10-17 09:19:51'
b'@ZakirAliTyagi @ImranGhazi_ #DelhiPolice #Maujpur #CAAProtest #SlapNSAOnKapilMishra #GoBackTrump #ArrestKapilMishra\\u2026 https://t.co/1a0MvwbFSF',b'1231929918558068736',b'Choudhury Amin',b'ChoudhuryAmin2',"b'Bengaluru, India'",b'am businessmen',b'269',b'485',b'0',b'4133',b'4338',b'False',b'False',b'True',b'False',b'2019-09-18 06:44:08'
b'And they say violence during #CAAProtest (!)to misinform the common citizen.\\n#Maujpur #DelhiPolice #ChandBagh https://t.co/tGVC2ocEeS',b'1231929875772182528',b'VPrasad',b'Satyaavrat',b'India',"b'\\u0935\\u0915\\u094d\\u0924 \\u0906\\u0928\\u0947 \\u0926\\u0947 \\u092c\\u0924\\u093e \\u0926\\u0947\\u0902\\u0917\\u0947 \\u0924\\u0941\\u091d\\u0947 \\u0910 \\u0906\\u0938\\u092e\\u093e\\u0902,\\n\\u0939\\u092e \\u0905\\u092d\\u0940 \\u0938\\u0947 \\u0915\\u094d\\u092f\\u093e \\u092c\\u0924\\u093e\\u092f\\u0947\\u0902 \\u0915\\u094d\\u092f\\u093e \\u0939\\u092e\\u093e\\u0930\\u0947 \\u0926\\u093f\\u0932 \\u092e\\u0947\\u0902 \\u0939\\u0948 \\u0964'",b'123',b'190',b'2',b'7360',b'15783',b'False',b'False',b'False',b'False',b'2011-03-30 13:00:00'
b'#CAAProtest Shame on the protesters resorting to violence in Delhi at a time when US President Trump is visiting.Th\\u2026 https://t.co/AkZLDPpoTq',b'1231929811741732871',b'Indian',b'crazyindian1947',b'',b'',b'4',b'7',b'0',b'915',b'65',b'False',b'True',b'True',b'False',b'2017-08-23 18:11:09'
b'#CAAProtest idiots are creating undue hindrance because of idiotic reasons. No religious discrimination for Indian\\u2026 https://t.co/yXJhu9y1mH',b'1231929600789245952',b'\\u092e\\u0943\\u0924\\u094d\\u092f\\u0941\\u0902\\u091c\\u092f \\U0001f531',b'Alduin17692153',b'',"b'Kattar Hindu, Anti Extremist, Pro Logic, Patriot\\U0001f1ee\\U0001f1f3'",b'204',b'220',b'0',b'1246',b'499',b'False',b'False',b'True',b'False',b'2019-12-09 15:54:36'
