b'#DelhiBurning Delhi police haaye haaye! https://t.co/pkNfigBqlo',b'1232017220613681155',b'Shefali',b'Shefali_sherry',"b'Mumbai, India'",b'I am as awesome as I can afford.',b'71',b'184',b'0',b'313',b'187',b'False',b'False',b'True',b'False',b'2015-02-04 10:00:31'
b'We have witnessed a jihadi attack on our democracy last three months. It hid behind our tricolour and sanitised phr\\u2026 https://t.co/8nJanSAG5m',b'1232017213579616256',b'Nikhil Lokhande',b'R_Nick28',"b'Pune, India'",b'\\U0001f60b Nothing now',b'55',b'171',b'0',b'32',b'822',b'False',b'False',b'True',b'False',b'2016-02-23 17:37:31'
"b'""\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940\\u0935\\u093e\\u0938\\u093f\\u092f\\u094b\\u0902 \\u0938\\u0947 \\u0936\\u093e\\u0902\\u0924\\u093f \\u0915\\u0940 \\u0935\\u093f\\u0928\\u092e\\u094d\\u0930 \\u0905\\u092a\\u0940\\u0932 \\u090f\\u0915 \\u0938\\u093e\\u0925 \\u092e\\u093f\\u0932\\u0915\\u0930 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0915\\u094b \\u092c\\u091a\\u093e\\u0907\\u090f\\u0964"" : @SanjayAzadSln\\n#DelhiBurning https://t.co/hzdEMmJp96'",b'1232017213152014336',b'Priyanka Chowhan',b'chowhanpriyanka',b'New Delhi',b'AAP National SM Team - Graphics Lead',b'9431',b'1405',b'79',b'193127',b'37379',b'True',b'False',b'False',b'False',b'2010-02-20 08:02:37'
"b'So they killed a Policeman, burning their own country because they want Pakistani Muslims to get citizenship along\\u2026 https://t.co/C9z8jobCQy'",b'1232017210060595200',b'Swati',b'swatiisays',"b'Bengaluru, India'",b'News Junkie I Politics I Environment I Health',b'453',b'596',b'0',b'1140',b'1533',b'False',b'False',b'True',b'False',b'2019-07-04 21:38:16'
"b'If Delhi can burn, so can other cities. Mody-Shaw will make Delhi Gujarat. Thankfully bjp is not controlling law n\\u2026 https://t.co/opOKatHQlV'",b'1232017209926569991',b'Nawal Topno',b'Natty_Nats11',b'',"b'Faculty, Traveller, believer'",b'40',b'89',b'0',b'213',b'123',b'False',b'False',b'True',b'False',b'2011-07-21 05:05:20'
b'Letter to PM #DelhiBurning #DelhiPolice #delhivoilence @PMOIndia @HMOIndia @RanaAyyub @anuragkashyap72 @ReallySwara\\u2026 https://t.co/z1cBQ8KQ36',b'1232017204373270529',b'Chandan',b'politicalpanch1',b'',"b'Chitchat wid Chandan, follow me for sarcasm, bollywood and politics'",b'9',b'47',b'0',b'41',b'10',b'False',b'False',b'True',b'False',b'2020-01-16 18:36:22'
b'@sandymridul This is not antinational mam..... This is antivirus for all #IslamicTerrorism and #IslamicJihad .. ok\\u2026 https://t.co/pfHHcgbtBP',b'1232017203509198850',b'\\u039c\\u03b1\\u03c5\\u0280\\u03c8\\u03b1\\U0001f6a9',b'satrohanmaurya',b'humanity',b'INDIAN\\U0001f1ee\\U0001f1f3 \\nFarmer | \\u091c\\u092f \\u092e\\u093e\\u0924\\u093e\\U0001f531 \\u0915\\u0947 \\u092d\\u0915\\u094d\\u0924 \\U0001f6d0\\u0939\\u0948| memes maker @satrohanmaurya \\U0001f602',b'357',b'348',b'1',b'8076',b'8650',b'False',b'False',b'True',b'False',b'2013-11-12 18:59:04'
b'@DelhiPolice \\u0915\\u093e \\u092f\\u0947 \\u0939\\u093e\\u0932 \\u0939\\u0948 JNU \\u0915\\u0940 \\u0924\\u0930\\u0939 \\u0917\\u0941\\u0928\\u094d\\u0921\\u093e\\u0917\\u0930\\u0926\\u0940 \\u0915\\u0940 \\u092a\\u0941\\u0930\\u0940 \\u091b\\u0942\\u091f \\u0926\\u0947 \\u0930\\u0916\\u0940 \\u0939\\u0948 \\u0906\\u092e \\u0906\\u0926\\u092e\\u0940 \\u092a\\u093e\\u0930\\u094d\\u091f\\u0940 \\u0915\\u0947 \\u0935\\u0940\\u0927\\u093e\\u092f\\u0915 \\u0915\\u0940 \\u092e\\u093e\\u0902\\u0917 \\u092d\\u0940 \\u0928\\u0939\\u0940 \\u0938\\u0941\\u0928\\u0940\\u2026 https://t.co/4arnn37MvM',b'1232017196248752128',b'Abuaamina Qasmi Palanpuri',b'AbuaaminaP',b'',b'',b'40',b'38',b'0',b'431',b'39',b'False',b'False',b'True',b'False',b'2020-01-27 17:38:33'
b'\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092e\\u0947\\u0902 1984 \\u0915\\u093e \\u0938\\u0902\\u092f\\u094b\\u0917\\n               \\u092f\\u093e \\n    2002 \\u0915\\u093e \\u092a\\u094d\\u0930\\u092f\\u094b\\u0917\\U0001f622\\n#DelhiBurning \\n#delhivoilence',b'1232017194881634305',b'Hussain Azam',b'HussainAzamPage',b'India',"b'Freelance Journalist,Critic,Social Activist, Political Activist   \\n                     \\U0001f449\\U0001f3fb \\u092c\\u0947\\u092c\\u093e\\u0915 \\u0906\\u0935\\u093e\\u091c\\u093c\\n                https://t.co/IcGtX2VAfN'",b'2557',b'65',b'3',b'1764',b'1288',b'False',b'False',b'False',b'False',b'2014-10-17 12:59:22'
"b'Dear Delhi,\\n\\nThere is nothing free in life, everything comes with a cost.\\nGood Night.\\n\\n#DelhiBurning #DelhiRiots'",b'1232017191685386240',b'\\u0905\\u0902\\u0915\\u093f\\u0924 \\U0001f1ee\\U0001f1f3',b'ankittweet13',"b'\\u0905\\u092f\\u094b\\u0927\\u094d\\u092f\\u093e, \\u092d\\u093e\\u0930\\u0924'",b'#Analyst #Politics #FinancialEngineering #NationFirst \\n\\nRetweets does not mean that I endorse them. Nothing endorsed by employer.',b'187',b'177',b'4',b'17459',b'47796',b'False',b'False',b'False',b'False',b'2010-11-23 07:49:51'
