b'@asadowaisi @AmitShah Waris pathan 15:100 ratio now he is hiding in some hole leaving the poor people to face the m\\u2026 https://t.co/84Kn3kp1nT',b'1232220550589747201',b'shovankar10',b'shovankar191',b'',b'',b'2',b'99',b'0',b'356',b'368',b'False',b'True',b'True',b'False',b'2017-12-17 18:50:35'
b'there is a mosque nearby -the only one in entire #YamunaVihar \\nHindutva mob will soon reach that block &amp; vandalise\\u2026 https://t.co/ZEW3xZoVoj',b'1232220543132168192',"b""will the real 'good hindoo' pls stand up?""",b'qpr009',b'India',b'',b'86',b'43',b'23',b'6061',b'7414',b'False',b'False',b'False',b'False',b'2016-04-18 12:25:25'
b'When will this country move on from #Hindu or #Muslim and when will we stop seeing #DelhiBurning ?\\nWhen will we put\\u2026 https://t.co/0yEG64DamF',b'1232220541546790914',b'Zorawar Gill',b'ZorawarGill2',b'',"b'Arsenal Fan, Patriot, \\U0001f1ee\\U0001f1f3, Otaku, gamer, elder scrolls fanboy (not ESO)'",b'23',b'196',b'0',b'786',b'3404',b'False',b'False',b'True',b'False',b'2020-02-10 11:33:50'
"b""@timesofindia @TOIDelhi The BJP's Central Government should forget about the Muslim's votes &amp; should immediately or\\u2026 https://t.co/I6LLT1xCYs""",b'1232220537520132096',b'ABHAY KUMAR PRADHAN',b'abhaykumarprad1',b'Bengaluru  India',"b'Graduate Engineer from MITS Gwalior ,Consultant for Air conditioning & Refrigeration Plants'",b'367',b'281',b'2',b'46051',b'1597',b'False',b'False',b'False',b'False',b'2013-10-24 13:48:41'
b'@ummyhaidar Hukum buatan manusia yg ada di negeri ini sangat lemah dan faktanya selalu digunakan untuk kepentingan\\u2026 https://t.co/r7UJ5ve0EJ',b'1232220510072631296',b'Ummufikri',b'Ummufikri6',b'',b'',b'30',b'47',b'0',b'1386',b'0',b'False',b'False',b'True',b'False',b'2020-01-13 00:29:24'
b'naanum idhu pola muslim ellaarum india la gundu vekkuradha vijaykanth padathula thaa paathiruken.\\n\\nbut ippo nejathu\\u2026 https://t.co/Kpfm7xCRLQ',b'1232220507593818113',b'\\U0001d4dd\\U0001d4f2\\U0001d4fc\\U0001d4f1\\U0001d4ea \\U0001d4e2\\U0001d4f2\\U0001d4ff\\U0001d4ea\\U0001d4f4\\U0001d4fe\\U0001d4f6\\U0001d4ea\\U0001d4fb',b'SNishaSivakumar',b'chennai',b'I am who I am\\n\\nI am what I am\\n\\nI do what I do\\n\\nI never gonna do it any different\\n\\nI don\\u2019t care who likes it and who don\\u2019t',b'159',b'91',b'0',b'1725',b'1097',b'False',b'False',b'False',b'False',b'2019-05-31 15:15:44'
"b'Kenapa umat Muslim terus yg didzolimi? Apa karna umat muslim perilakunya jujur, adil, menegakkan kebenaran dan memb\\u2026 https://t.co/SWshLseaPC'",b'1232220503726706688',b'titik-wahyudi',b'TitikWahyudi',b'',b'',b'434',b'629',b'0',b'3403',b'1168',b'False',b'False',b'True',b'False',b'2018-05-07 03:12:15'
b'@PChidambaram_IN. Now we can understand the importance of CAA after seeing muslim terrorism',b'1232220500488785920',b'Bharath',b'Bharath21808155',b'',b'i am an animal.',b'3',b'69',b'0',b'70',b'6',b'False',b'False',b'True',b'False',b'2019-12-17 15:36:18'
b'@cjwerleman Really what about Muslim nations???',b'1232220500480286721',b'Dr.FLYBoY',b'Dr_Anant',b'HINDUSTAN',"b'INDIAN\\U0001f1ee\\U0001f1f3\\U0001f1ee\\U0001f1f3\\U0001f1ee\\U0001f1f3\\U0001f1ee\\U0001f1f3...PATRIOT,MSDian,Dentist...AND\\nNOT A JNU STUDENT!!!!!'",b'178',b'1928',b'0',b'8058',b'4960',b'False',b'False',b'True',b'False',b'2011-07-07 14:22:26'
"b""@OpusOfAli When Muslim's r finished because of u killing them,then karma will see to it that nothing is left for u\\u2026 https://t.co/5lxBPERpsY""",b'1232220490388951040',b'@1961ak',b'kaziazra3',b'',"b""inna Ma'iya rabbi sayah'deen (26:62),truly my Lord is with me & guide me thru""",b'96',b'445',b'0',b'9647',b'6397',b'False',b'False',b'True',b'False',b'2018-10-19 14:35:53'
