b'#realDonaldTrump #IvankaTrump #Trump2020 #trump #brexit @BorisJohnson @realDonaldTrump \\n#doctorwho\\u064e #badwolf\\u2026 https://t.co/ZcIXAjXfnp',b'1230846224800022529',b'Mehdi Degryse (ICE ANGEL)',b'MrDegryse',"b'Gouvy, Belgique'",b'Mehdi good idea. i am consultant in cryptocurrency. i make report of the market i am business internet realationship',b'91',b'722',b'1',b'2339',b'354',b'False',b'False',b'False',b'False',b'2017-04-23 17:34:12'
"b'\\u0a9f\\u0acd\\u0ab0\\u0aae\\u0acd\\u0aaa \\u0a86\\u0ab5\\u0ab6\\u0ac7, \\u0ab8\\u0abe\\u0aa5\\u0ac7 \\u0aa6\\u0ac0\\u0a95\\u0ab0\\u0ac0 \\u0a85\\u0aa8\\u0ac7 \\u0a9c\\u0aae\\u0abe\\u0a87\\u0aa8\\u0ac7 \\u0aaf \\u0ab2\\u0abe\\u0ab5\\u0ab6\\u0ac7?... \\u0ab5\\u0aa7\\u0ac1 \\u0ab5\\u0abe\\u0a82\\u0a9a\\u0ab5\\u0abe \\u0a95\\u0acd\\u0ab2\\u0abf\\u0a95 \\u0a95\\u0ab0\\u0acb... https://t.co/saPKUzLQAJ #India #Gujarat\\u2026 https://t.co/6TInil2bTl'",b'1230840852034928641',b'chitralekha',b'chitralekhamag',"b'Mumbai, India'","b'The Chitralekha Group of Publications was started way back in 1950 by Vaju Kotak, a journalistic legend of his times.'",b'25143',b'595',b'261',b'133548',b'376',b'False',b'False',b'False',b'False',b'2009-06-16 10:51:44'
"b'\\u0aae\\u0acb\\u0aa6\\u0ac0-\\u0a9f\\u0acd\\u0ab0\\u0a82\\u0aaa\\u0aa8\\u0abe \\u0ab0\\u0acb\\u0aa1-\\u0ab6\\u0acb\\u0aae\\u0abe\\u0a82 2 \\u0aab\\u0ac7\\u0ab0\\u0aab\\u0abe\\u0ab0 \\u0a95\\u0ab0\\u0ab5\\u0abe\\u0aae\\u0abe\\u0a82 \\u0a86\\u0ab5\\u0acd\\u0aaf\\u0abe, \\u0aaa\\u0abe\\u0ab5\\u0ab0 \\u0ab9\\u0abe\\u0a89\\u0ab8 \\u0ab8\\u0ab0\\u0acd\\u0a95\\u0ab2\\u0aa5\\u0ac0 \\u0a9c\\u0aa8\\u0aaa\\u0aa5 \\u0ab8\\u0ac1\\u0aa7\\u0ac0 \\u0aae\\u0abe\\u0ab0\\u0acd\\u0a97 \\u0aac\\u0a82\\u0aa7 \\u0ab0\\u0ab9\\u0ac7\\u0ab6\\u0ac7, \\u0ab5\\u0abf\\u0ab8\\u0aa4 \\u0ab8\\u0ab0\\u0acd\\u0a95\\u0ab2\\u0aa5\\u0ac0 \\u0a9d\\u0ac1\\u0a82\\u0aa1\\u0abe\\u0ab2 \\u0ab8\\u0ab0\\u0acd\\u2026 https://t.co/v3PVdEZbwM'",b'1230836825981276160',b'VTV Gujarati News and Beyond',b'VtvGujarati',b'Ahmedabad',"b""VTVGujarati is a digital publication; an intersection of news & entertainment as new-age content & independent journalism form young India's voice.""",b'67987',b'541',b'92',b'136769',b'425',b'False',b'False',b'False',b'False',b'2012-05-23 11:36:33'
"b'#IvankaTrump, has she always had an eye for older men with fly away hair? https://t.co/iTTDngBEgV'",b'1230833501974466560',b'Not Mike Prisuta',b'Not_Prisuta',b'Metro Pittsburgh',"b""No, they didn't really say that?""",b'159',b'163',b'3',b'13623',b'20508',b'False',b'False',b'False',b'False',b'2010-11-01 13:23:21'
"b""#NamasteTrump: \\u092a\\u0939\\u0932\\u0940 \\u092c\\u093e\\u0930 \\u092d\\u093e\\u0930\\u0924 \\u0926\\u094c\\u0930\\u0947 \\u092a\\u0930 '\\u091f\\u094d\\u0930\\u0902\\u092a \\u092a\\u0930\\u093f\\u0935\\u093e\\u0930', \\u092c\\u0947\\u091f\\u0940 \\u0907\\u0935\\u093e\\u0902\\u0915\\u093e \\u0914\\u0930 \\u0926\\u093e\\u092e\\u093e\\u0926 \\u092d\\u0940 \\u0906\\u090f\\u0902\\u0917\\u0947 \\u0938\\u093e\\u0925\\n@realDonaldTrump\\u2026 https://t.co/TUetIh6Iu8""",b'1230822010076291072',b'Molitics',b'moliticsindia',"b'Gurgaon, India'",b'Molitics: Media Of Poliltics | Available on Android https://t.co/R8AvJIkGAv Follow On FB https://t.co/xy5CevH45M  \\U0001f44d\\n#Molitics #MediaOfPolitics',b'16180',b'36',b'11',b'13222',b'0',b'False',b'False',b'True',b'False',b'2016-07-15 18:52:53'
"b'As part of US President #DonaldTrump\\u2019s high-level delegation on his visit to India, his daughter #IvankaTrump and s\\u2026 https://t.co/LMAURmTDDh'",b'1230819933203746818',b'The Quint',b'TheQuint',b'',b'Mobile-first digital news platform. We are the signal over the noise!',b'423301',b'314',b'1220',b'304708',b'261',b'True',b'False',b'False',b'False',b'2015-01-14 09:43:21'
b'\\u0a85\\u0aac\\u0a95\\u0ac0 \\u0aac\\u0abe\\u0ab0 \\u0aaa\\u0ac1\\u0ab0\\u0abe \\u0aaa\\u0ab0\\u0abf\\u0ab5\\u0abe\\u0ab0: \\u0aa1\\u0acb\\u0aa8\\u0abe\\u0ab2\\u0acd\\u0aa1 \\u0a9f\\u0acd\\u0ab0\\u0aae\\u0acd\\u0aaa\\u0aa8\\u0ac0 \\u0ab8\\u0abe\\u0aa5\\u0ac7 \\u0aa6\\u0abf\\u0a95\\u0ab0\\u0ac0 \\u0a88\\u0ab5\\u0abe\\u0a82\\u0a95\\u0abe \\u0a85\\u0aa8\\u0ac7 \\u0a9c\\u0aae\\u0abe\\u0a87 \\u0aaa\\u0aa3 \\u0a86\\u0ab5\\u0ab6\\u0ac7 \\u0aad\\u0abe\\u0ab0\\u0aa4\\n#IvankaTrump #JaredKushner\\u2026 https://t.co/8YYWGTyWOC',b'1230819378976845824',b'Gujarat Samachar',b'gujratsamachar',"b'Khanpur, Ahmadabad City'",b'FB: https://t.co/RtBAaBmsf3 | EPaper: https://t.co/jq6V9g5P9a | YouTube: https://t.co/5Re3XPq70a | Telegram: https://t.co/jgEzv0OiC9',b'178073',b'170',b'227',b'150817',b'6',b'True',b'False',b'False',b'False',b'2010-07-16 10:19:31'
b'#IvankaTrump to visit #india with #trump this does boost #tradedeal talks $spy $qqq $dia https://t.co/cH5gQmschm',b'1230816662988836864',b'naashonomics',b'naashonomics',b'San Jose',"b'love to win in trading #stocks and #cryptos, code for a living and trade for passion'",b'3558',b'5001',b'314',b'72559',b'184',b'False',b'False',b'False',b'False',b'2012-10-15 05:13:37'
b'#IvankaTrump and Son-in-law #JaredKushner to Join #Trump and #Melania for India Tour: Reports\\u2026 https://t.co/zADKg6aWHh',b'1230815146726920192',b'Behindwoods',b'behindwoods',b'India',"b""Informing 7 Crore People. We're the most popular online media organization in TN, trusted for our highest standards of ethics and quality for the past 17 years.""",b'875618',b'1389',b'486',b'154963',b'5505',b'False',b'False',b'False',b'False',b'2009-05-02 20:51:21'
b'Adorable moment \\n\\n#IvankaTrump\\n#POTUS\\n#PerfectParodyGagGift https://t.co/uijkuarRyB',b'1230814583360614400',b'Donald Trump Presidential Parody Bobble Head',b'DT_TalkingDoll',"b'Chicago, IL'","b'I am a genius very handsome I have many billions of dollars.  I talk low. I say 41 phrases. I am not PC, rude and critical. I am a Parody Bobble Head.'",b'74',b'393',b'1',b'2171',b'26',b'False',b'False',b'True',b'False',b'2016-03-28 01:23:30'
