b'\\u09ed\\u099f\\u09be \\u09a4\\u09be\\u099c\\u09be \\u09aa\\u09cd\\u09b0\\u09be\\u09a3 \\u09ab\\u09bf\\u09b0\\u09bf\\u09af\\u09bc\\u09c7 \\u09a6\\u09bf\\u09a4\\u09c7 \\u09aa\\u09be\\u09b0\\u09ac\\u09c7\\u09a8 @AmitShah ?\\n#DelhiViolence \\n#DelhiBurning',b'1232253122094845953',b'Subha Chatterjee',b'SubhaChatterj12',"b'Kolkata, India'","b'\\u0986\\u09ae\\u09bf \\u098f\\u0995 \\u099c\\u09b2\\u09ac\\u09bf\\u09a8\\u09cd\\u09a6\\u09c1 \\u09ae\\u09be\\u09a4\\u09cd\\u09b0, \\u09b2\\u09dc\\u09be\\u0987 \\u0995\\u09b0\\u09bf \\u09a4\\u09c1\\u09ab\\u09be\\u09a8\\u09c7\\u09b0 \\u09b8\\u09be\\u09a5\\u09c7\\u0964\\n\\u0995\\u09be\\u09b0\\u09a3 \\u099c\\u09be\\u09a8\\u09bf, \\u09b8\\u09ae\\u09c1\\u09a6\\u09cd\\u09b0 \\u0986\\u09ae\\u09be\\u09df \\u09b0\\u0995\\u09cd\\u09b7\\u09be \\u0995\\u09b0\\u09ac\\u09c7\\u0964'",b'337',b'67',b'0',b'5931',b'1900',b'False',b'False',b'False',b'False',b'2012-08-31 16:02:11'
b'#DelhiBurning because modi and Shah have given the reins to a Pakistani . #asligaddarBJPsarkar https://t.co/dMuL3eWoYZ',b'1232253111898501121',b'Muskan',b'Muskan00667241',b'',b'',b'26',b'75',b'0',b'1144',b'951',b'False',b'False',b'True',b'False',b'2019-09-22 17:48:33'
b'@dkdinesh24 @ArvindKejriwal #IStandWithKapilMishra\\n#DelhiBurning \\n#DelhiPolice \\n#IslamicTerrorism',b'1232253102197219328',b'RekhaSharma',b'RekhaSharma1511',"b'sirsa,India.'","b'\\u091a\\u0932\\u094b \\u0917\\u092e\\u094b \\u092e\\u0947 \\u092d\\u0940 \\u092e\\u0941\\u0938\\u094d\\u0915\\u0941\\u0930\\u093e\\u0924\\u0947 \\u0939\\u0948, \\u091c\\u093f\\u0928\\u094d\\u0926\\u0917\\u0940 \\u0915\\u094b \\u0925\\u094b\\u0919\\u093e \\u091a\\u093f\\u0922\\u093e\\u0924\\u0947\\n\\n     \\u0939\\u093f\\u0928\\u094d\\u0926\\u0940, \\u0939\\u093f\\u0928\\u094d\\u0926\\u0941, \\u0939\\u093f\\u0928\\u094d\\u0926\\u0941\\u0938\\u094d\\u0924\\u093e\\u0928 \\u092e\\u0947\\u0930\\u0940 \\u091c\\u093e\\u0928, \\U0001f6a9 \\u092d\\u093e\\u0930\\u0924 \\u092e\\u093e\\u0924\\u093e \\u0915\\u0940 \\u091c\\u092f \\U0001f6a9tweets are in like \\u2764 \\n\\n follow @PramodFB'",b'16750',b'1541',b'5',b'55898',b'2776',b'False',b'False',b'True',b'False',b'2019-09-15 13:55:26'
b'When #DelhiBurning .. instead of staying in office and managing the situation..he is sitting in dharna. \\nDharna pol\\u2026 https://t.co/FZTCYDlE4G',b'1232253100788002819',b'Manoranjan Sahoo',b'mano_soham',b'India',b'IT professional. A proud tax payer. A proud Bhakt',b'267',b'257',b'1',b'43822',b'64052',b'False',b'False',b'True',b'False',b'2015-11-10 17:39:44'
"b""What am I missing?\\nPeople elected a communalist because he had the 'Gujarat Model of Development.'\\nBut when the wor\\u2026 https://t.co/j3gZOGvFTu""",b'1232253097323327488',b'The Human',b'thehumanof',b'',b'',b'6',b'98',b'0',b'1452',b'1551',b'False',b'False',b'True',b'False',b'2018-04-13 20:59:24'
b'@KhanAmanatullah \\u0924\\u0941\\u092e \\u0905\\u092a\\u0928\\u0947 \\u092e\\u0915\\u093c\\u0938\\u0926 \\u092e\\u0947\\u0902 \\u0915\\u093e\\u092e\\u092f\\u093e\\u092c \\u0939\\u094b \\u0930\\u0939\\u0947 \\u0939\\u094b \\u092c\\u0939\\u0941\\u0924 \\u092c\\u0939\\u0941\\u0924 \\u0936\\u0941\\u092d\\u0915\\u093e\\u092e\\u0928\\u093e\\u090f\\u0902 \\u0924\\u0941\\u092e\\u094d\\u0939\\u0947\\u0964 \\u0932\\u0947\\u0915\\u093f\\u0928 \\u091c\\u0928\\u0924\\u093e \\u0915\\u094b \\u092f\\u0947 \\u0938\\u092e\\u091d\\u0928\\u093e \\u091a\\u093e\\u0939\\u093f\\u090f \\u0915\\u093f\\u2026 https://t.co/9pifDvJArz',b'1232253092319485955',b'Vipin Pathak',b'Vipinkrpathak',"b'\\u0928\\u0908 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940, \\u092d\\u093e\\u0930\\u0924'",b'Hoping from someone is cause of pain.\\n#naturelover\\n#\\u0938\\u094d\\u0935\\u0924\\u0902\\u0924\\u094d\\u0930_\\u0935\\u093f\\u091a\\u093e\\u0930',b'32',b'149',b'0',b'1629',b'573',b'False',b'False',b'False',b'False',b'2016-11-06 16:41:37'
"b'In US, there is an unwritten rule among criminals that you never k!ll a cop. \\nBecause if you do so, entire police d\\u2026 https://t.co/GoFLo82rZR'",b'1232253089526059009',b'Aditya Tiwari',b'adt007ad',"b'Uttara Prachand-NCR, India'",b'',b'1708',b'166',b'15',b'8577',b'1669',b'False',b'False',b'False',b'False',b'2017-10-21 17:15:51'
b'Great level of efforts to set a particular narrative! \\n\\nTweets from Journalists espc #NDTV types should be checked\\u2026 https://t.co/KL1fHq9cfT',b'1232253088129437698',b'Sandeep Savant',b'SandeepVSavant',b'',"b'Born in Karwar, exploring the \\U0001f30d'",b'22',b'586',b'0',b'514',b'1576',b'False',b'False',b'True',b'False',b'2020-01-01 05:00:01'
b'\\u0910\\u0938\\u093e cm \\u092c\\u0928\\u093e \\u0939\\u0948\\u0964 \\u0915\\u0930\\u0928\\u093e \\u0915\\u0941\\u091b \\u0928\\u0939\\u0940 \\u0939\\u0948 \\u092c\\u0938 \\u091c\\u093c\\u093f\\u0928\\u094d\\u0926\\u0917\\u0940 \\u0915\\u0947 \\u092e\\u091c\\u0947 \\u0932\\u0947\\u0928\\u0947 \\u0939\\u0948\\u0964\\n\\u091c\\u094b \\u091c\\u093c\\u093f\\u092e\\u094d\\u092e\\u0947\\u0926\\u093e\\u0930 \\u0939\\u0948 \\u0907\\u0938 \\u0918\\u091f\\u0928\\u093e \\u0915\\u0947 \\u0932\\u093f\\u090f \\u0909\\u0928\\u094d\\u0939\\u0947\\u0902 \\u0938\\u091c\\u093e \\u0926\\u094b\\u0964 \\u0917\\u0926\\u094d\\u0926\\u093e\\u0930\\u094b\\u2026 https://t.co/fT33OeYfzR',b'1232253080298819584',b'mohit pal',b'PalMohitpal234',b'',b'A nationalist\\U0001f1ee\\U0001f1f3',b'2',b'20',b'0',b'117',b'144',b'False',b'False',b'True',b'False',b'2012-11-16 11:35:36'
"b'@sagarikaghose Dear media warriors, Wakeup and smell the coffee. To run your show uninterrupted you created this ma\\u2026 https://t.co/kT6sgZ3ZFt'",b'1232253076783845377',b'Shashi singh',b'findshashi',"b'New Delhi, India'","b'Awaken proud Indian, learner.\\n\\u201cViews are my own\\u201d and \\u201cRTs not endorsements\\u201d'",b'190',b'1538',b'0',b'3083',b'6021',b'False',b'False',b'False',b'False',b'2010-02-24 17:00:50'
