"b'Whatever is happening in Seelampur, Jafferabad, Bhajanpura, Khajuri Khas, Mustafabad, the whole attempt is to inter\\u2026 https://t.co/z80Vi4vUeM'",b'1232295363559727105',b'\\u0935\\u093f\\u0935\\u0938\\u094d\\u0935\\u093e\\u0928 \\U0001f6a9',b'tejOmayah',b'\\u092d\\u093e\\u0930\\u0924 \\U0001f1ee\\U0001f1f3',b'\\u092d\\u093e\\u0930\\u0924\\u0935\\u093e\\u0926\\u0940 \\u25cf Tweeting on Desh & Dharma\\n\\u25cf\\nretweets mostly are endorsements.',b'156',b'1124',b'2',b'5444',b'15925',b'False',b'False',b'False',b'False',b'2015-05-14 07:55:41'
"b'@AisiTaisiDemo \\u0915\\u092a\\u093f\\u0932 \\u092e\\u093f\\u0936\\u094d\\u0930\\u093e \\u0928\\u0947 \\u0917\\u0932\\u0924 \\u092d\\u093e\\u0937\\u0923 \\u0926\\u093f\\u092f\\u093e, \\u0935\\u093e\\u0930\\u093f\\u0938 \\u092a\\u0920\\u093e\\u0928 \\u0928\\u0947 \\u092d\\u0940 \\u0917\\u0932\\u0924 \\u092d\\u093e\\u0937\\u0923 \\u0926\\u093f\\u092f\\u093e\\u0964 \\u0932\\u0947\\u0915\\u093f\\u0928 \\u092f\\u0947 \\u0915\\u0939\\u0928\\u093e \\u0915\\u093f \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0907\\u0928\\u0915\\u0940 \\u0938\\u094d\\u091f\\u0947\\u091f\\u092e\\u0947\\u0902\\u2026 https://t.co/ZfCWyOArCV'",b'1232295348699156480',b'Bhupender Saini',b'iambhupee',"b'Haryana, India'","b'avid reader , cynophilist , rebel , student .'",b'49',b'58',b'0',b'842',b'5074',b'False',b'False',b'True',b'False',b'2017-06-12 11:49:00'
b'#Peace #DelhiBurning #DelhiRiots #DelhiViolence #DelhiCAAClashes #\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940_\\u0926\\u0902\\u0917\\u093e #\\u0926\\u0941\\u0916\\u0926 #\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940_\\u0932\\u0902\\u0926\\u0928_\\u0938\\u0947_\\u092c\\u0928\\u093e_\\u0938\\u093f\\u0930\\u093f\\u092f\\u093e\\u2026 https://t.co/lq2fTm8uaD',b'1232295344630829058',"b""The Devil's Advocate""",b'HumanFragrance',b'',"b'Peace love \\u2764\\ufe0f humanity,'",b'5',b'98',b'0',b'813',b'21',b'False',b'False',b'True',b'False',b'2019-12-26 13:43:16'
b'@sakshijoshii \\u092d\\u093e\\u0930\\u0924\\u0940\\u092f \\u091c\\u0935\\u093e\\u0928 \\u0907\\u0928 \\u0936\\u093e\\u0902\\u0924\\u093f\\u092a\\u094d\\u0930\\u093f\\u092f \\u092a\\u0940\\u0938\\u092b\\u0941\\u0932 \\u092a\\u094d\\u0930\\u0926\\u0930\\u094d\\u0936\\u0928\\u0915\\u093e\\u0930\\u093f\\u092f\\u094b\\u0902 \\u0915\\u094b \\u0915\\u0947\\u0935\\u0932 \\u092c\\u0924\\u093e \\u0930\\u0939\\u0940 \\u0939\\u0948 \\u0915\\u093f \\u0915\\u093f\\u0938 \\u092a\\u094d\\u0930\\u0915\\u093e\\u0930 \\u0936\\u093e\\u0902\\u0924\\u093f\\u092a\\u0942\\u0930\\u094d\\u0935\\u0915 \\u092a\\u094d\\u0930\\u0926\\u0930\\u094d\\u0936\\u2026 https://t.co/xdICHXifQM',b'1232295342894395393',b'Balvinder Singh',b'balvind934nmt',b'',b'#  Student and \\n# a human being',b'36',b'190',b'0',b'334',b'4279',b'False',b'False',b'True',b'False',b'2020-01-01 15:52:37'
"b""Modi's Shinning India.\\n#DelhiBurning #Trump #Dehli https://t.co/a1LKNh8DYy""",b'1232295341795500032',b'Husain shabbir',b'Husainshabz',"b'Dubai, United Arab Emirates'",b'MPhil | Political Satirist | Entrepreneur | Strategic Analyst | Cynical & Sarcastic | Morbid | Misanthropic | Flamboyant | Malevolent | Controversial Pakistani.',b'292',b'235',b'8',b'5573',b'5483',b'False',b'False',b'False',b'False',b'2010-02-15 16:33:45'
b'@RanaAyyub What you expect us ? To seat &amp; watch this islami muslims terrorist vandalise &amp; loot our house &amp; shop ??\\u2026 https://t.co/uuvbM4GGqL',b'1232295340440637443',b'Oasis',b'oasis_jain',b'India',b'Oasis...',b'153',b'921',b'1',b'26317',b'30673',b'False',b'False',b'True',b'False',b'2016-09-03 20:55:56'
b'Ab fascist bol hi diya he to  fascism dikhaoo yaarr #DelhiBurning \\n@AmitShah  @narendramodi  @PMOIndia',b'1232295337236189190',b'khufu00',b'khufu106',b'',b'dreamer \\U0001f47b',b'3',b'75',b'0',b'89',b'77',b'False',b'False',b'True',b'False',b'2019-07-03 17:39:49'
b'#DelhiRiots \\n#DelhiCAAClashes \\n#DelhiBurning \\n#DelhiIsBurning https://t.co/Zm3FAWoUS5',b'1232295330927894528',b'\\u0ba4\\u0bc0\\u0bb0\\u0ba9\\u0bcd \\u0baa\\u0bb0\\u0ba3\\u0bbf \\u2764\\ufe0f',b'Bharani_daran_',b'',b'\\u0b95\\u0bb5\\u0bbf\\u0baa\\u0bbf\\u0bb0\\u0bbf\\u0baf\\u0ba9\\u0bcd\\u270d\\ufe0f|\\u2623\\ufe0f\\u0b88\\u0bb0\\u0bcb\\u0b9f\\u0bc1\\n\\u0baa\\u0b9f\\u0bcd\\u0b9f\\u0bbf\\u0b95\\u0bcd\\u0b95\\u0bbe\\u0b9f\\u0bcd\\u0b9f\\u0bbe\\u0ba9\\u0bcd\\U0001f33e|\\U0001f1e8\\U0001f1ec \\u0b95\\u0bbe\\u0bb0\\u0bbe\\u0bb3\\u0ba9\\u0bcd\\n| \\U0001d402\\U0001d42e\\U0001d425\\U0001d42d\\U0001d42e\\U0001d42b\\U0001d41e \\U0001d41a\\U0001d41d\\U0001d41d\\U0001d422\\U0001d41c\\U0001d42d\\U0001f343| \\u0bb5\\u0bbf\\u0ba4\\u0bcd\\u0baf\\u0bbe\\u0b9a_\\u0baa\\u0bbf\\u0bb1\\u0bb5\\u0bbf \\U0001f3c3\\n\\u0b95\\u0b9f\\u0bb5\\u0bc1\\u0bb3\\u0bcd \\u0ba8\\u0bae\\u0bcd\\u0baa\\u0bbf\\u0b95\\u0bcd\\u0b95\\u0bc8 \\u0b89\\u0bb3\\u0bcd\\u0bb3\\u0bb5\\u0ba9\\u0bcd \\U0001f549\\ufe0f',b'173',b'154',b'0',b'422',b'1657',b'False',b'False',b'True',b'False',b'2017-05-02 02:36:56'
b'\\u0914\\u0930 \\u0926\\u094b \\u0935\\u094b\\u091f \\u092b\\u094d\\u0930\\u0940 \\u092e\\u0947\\u0902\\n\\nThey have fallen for the free trap now their freedom has gone.\\n\\n#DelhiRiots \\n#DelhiBurning https://t.co/2VDJOPpYk8',b'1232295327992090625',b'Harie',b'hariegomoji',"b'Mumbai, India'",b'Tu 13 Dekh \\U0001f576\\ufe0f #ExSecular',b'360',b'558',b'2',b'1834',b'36718',b'False',b'False',b'False',b'False',b'2009-10-24 05:39:53'
b'\\u0926\\u0941\\u0936\\u094d\\u092e\\u0928\\u094b\\u0902 \\u0915\\u0947 \\u092c\\u0940\\u091a \\u0938\\u0947 \\u091c\\u093f\\u0902\\u0926\\u093e \\u0906\\u092f\\u093e \\u0905\\u092d\\u093f\\u0928\\u0902\\u0926\\u0928 \\u092d\\u093e\\u0930\\u0924 \\u0915\\u093e \\u0932\\u093e\\u0932 \\u0932\\u0947\\u0915\\u093f\\u0928 \\u0935\\u0924\\u0928 \\u092e\\u0947\\u0902 \\u091b\\u093f\\u092a\\u0947 \\u0917\\u0926\\u094d\\u0926\\u093e\\u0930\\u094b\\u0902 \\u0915\\u0947 \\u0939\\u093e\\u0925\\u094b\\u0902 \\u092e\\u093e\\u0930\\u0947 \\u0917\\u090f #\\u0936\\u094d\\u0930\\u0940_\\u0930\\u0924\\u0928\\u0932\\u093e\\u0932 \\U0001f622\\U0001f622\\U0001f64f\\U0001f64f\\u2026 https://t.co/QKG6fV6J0j',b'1232295318743633920',b'\\u0935\\u093f\\u0915\\u093e\\u0938 \\u092a\\u093e\\u0923\\u094d\\u0921\\u0947\\u092f',b'vippandey07',b'',b'\\u0939\\u0930 \\u0915\\u0930\\u092e \\u0905\\u092a\\u0928\\u093e \\u0915\\u0930\\u0947\\u0902\\u0917\\u0947 \\u090f #\\u0935\\u0924\\u0928 \\U0001f1ee\\U0001f1f3 \\u0924\\u0947\\u0930\\u0947 \\u0932\\u093f\\u090f \\U0001f49e\\U0001f49e\\U0001f49e\\n               \\u0905\\u0917\\u0930 #\\u0930\\u093e\\u0937\\u094d\\u091f\\u094d\\u0930\\u0939\\u093f\\u0924 \\u092e\\u0947\\u0902 \\u092c\\u094b\\u0932\\u0928\\u093e #\\u0917\\u0941\\u0928\\u093e\\u0939 \\u0939\\u0948 \\u0924\\u094b \\u092e\\u0948\\u0902 \\u092f\\u0939 \\u0917\\u0941\\u0928\\u093e\\u0939 \\u0939\\u092e\\u0947\\u0936\\u093e \\u0914\\u0930 \\u0939\\u0930\\u092c\\u093e\\u0930 \\u0915\\u0930\\u0924\\u093e \\u0930\\u0939\\u0942\\u0902\\u0917\\u093e \\U0001f6a9 #\\u091c\\u092f_\\u0936\\u094d\\u0930\\u0940_\\u0930\\u093e\\u092e \\U0001f6a9',b'115',b'517',b'0',b'425',b'399',b'False',b'False',b'True',b'False',b'2019-10-09 14:58:06'
