b'And they claim to protect us! Fail govt. Fail Prime minister. Fail Home minister. \\nPeace over violence. \\u262e\\ufe0f\\U0001f932\\U0001f3fb\\u2026 https://t.co/RBqDZl1VWG',b'1232066419132633088',b'Hajira Ali Khan',b'hajiraalikhan7',b'Saudi Arabia',"b'\\u2022 Jeddah, SaudiArabia \\u2022 \\U0001f1f8\\U0001f1e6 \\nCounselling & mental health student. \\nSnapchat - hajira_khan7'",b'126',b'172',b'0',b'3222',b'3680',b'False',b'False',b'False',b'False',b'2013-03-22 12:59:47'
b'@dhruv_rathee Team of Pro CAA supporters in the uniforms lead by @AmitShah\\n#DelhiBurning \\n#DelhiViolence \\n#DelhiRiots',b'1232066331656237057',b'Activistinactive',b'Activistinactiv',b'',"b'\\xa0If\\xa0you\\xa0are neutral in situations of\\xa0injustice,\\xa0you\\xa0have chosen the side of the oppressor.\\xa0'",b'5',b'90',b'0',b'54',b'57',b'False',b'False',b'True',b'False',b'2020-02-07 11:07:19'
b'#DelhiBurning #DelhiPolice #DelhiViolence #ArrestKapilMishra Aljazera called this new breed arnab gosami &amp; this bre\\u2026 https://t.co/oDQ1OraG89',b'1232066265843470343',b'Irtaza raza',b'Irtazaraza1',"b'\\u0905\\u091c\\u092e\\u0947\\u0930, \\u092d\\u093e\\u0930\\u0924'",b'want to be writer but loves reading',b'55',b'47',b'1',b'50',b'7278',b'False',b'False',b'True',b'False',b'2012-12-19 08:44:52'
"b'Delhi is burning, this is what the goverment wanted.\\n\\nDelhi is made into war zone by Rightwingers!\\n\\nSab yaad rakha\\u2026 https://t.co/5YlxdTzcwv'",b'1232066191822188544',b'Mohd Zeeshan',b'MohdZee04422576',b'New Delhi ',b'Indian\\nMuslim\\nDiehard fan of @iamsrk and @KKRiders\\nPerusing \\nElectrical Engineering from Jamia Millia Islamia',b'127',b'121',b'0',b'609',b'2869',b'False',b'False',b'True',b'False',b'2017-10-24 15:39:30'
b'Listen to Loyalty Lost by KingCor \\U0001f30d\\U0001f934\\U0001f3fd\\U0001f4aa\\U0001f3fd #np on #SoundCloud #Sounders #soundcloudartist #DelhiBurning #j\\u2026 https://t.co/xe1AgZ9jZO',b'1232066173992345605',b'Future \\U0001f410',b'kingcor_',"b'Bronx, NY'",b'IG - Kingcor__  Snap - Kingcor55 FB- Kingcor',b'210',b'153',b'1',b'594',b'140',b'False',b'False',b'True',b'False',b'2016-09-11 21:13:38'
"b'This can not,I repeat CANNOT happen without the direct-indirect support of the govt. responsible for law enforcemen\\u2026 https://t.co/bIlKne13xI'",b'1232066172952014848',b'Shuchi',b'shuchinewdelhi',b'India',"b'Free Spirited, Unpredictable , Dreamer. Also, Fashion & Lifestyle Journalist \\U0001f60e Follow-Shuchisworldofwords on Instagram\\u2665\\ufe0f'",b'57',b'34',b'3',b'622',b'544',b'False',b'False',b'False',b'False',b'2009-08-12 14:44:40'
b'A request for all Indian Muslim please fight for your rights \\n\\n#DelhiBurning',b'1232066157013852161',b'#I_am_ISI_I_am_Pak_Army',b'Mirwali241Mir',b'',b'#Army_Lover \\n#PTI_Supporter\\n#Proud_to_be_Pakistani\\n#cast_is_Afridi\\n#dream_is_joining_Pakistan_army\\n#We_Pakistani_want_peace\\nHacker Tricker Facebook master',b'1429',b'4528',b'0',b'937',b'3523',b'False',b'False',b'True',b'False',b'2015-07-28 10:45:25'
b'@msisodia #DelhiBurning',b'1232066132451844096',b'AtharvDixit_DC',b'Iam_Atharv',"b'New Delhi, India'","b'24, Aries, Marketing and Sales, Humanity, Football, Metal, DC Comics Fan, Big Fan of Ben Affleck, Henry Cavill and Gal Gadot, Only Humans follow me !!'",b'52',b'57',b'0',b'271',b'1608',b'False',b'False',b'True',b'False',b'2017-01-19 11:09:37'
"b'Delhi  diffusing positive externalities ""Diversity in unity all over the world"" for anti-government policies than w\\u2026 https://t.co/lgzRfV5FUV'",b'1232066089841913856',b'Avinash00007',b'Avinash000071',"b'\\u0928\\u0908 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940, \\u092d\\u093e\\u0930\\u0924'",b'No Body is Stoic',b'0',b'11',b'0',b'1',b'2',b'False',b'False',b'True',b'False',b'2020-02-21 23:47:50'
b'#DelhiBurning',b'1232066085362524162',b'taher badnawarwala',b'tahercoolguy',b'\\u062f\\u0648\\u0644\\u0629 \\u0627\\u0644\\u0643\\u0648\\u064a\\u062a',b'',b'18',b'101',b'0',b'216',b'424',b'False',b'False',b'True',b'False',b'2010-06-14 06:49:01'
b'#AmitShahResign \\n#DelhiBurning \\n#SlapNSAOnKapilMishra \\n#ArrestKapilMishra \\n#ArrestTerroristKapilMishra \\n#DelhiPolice https://t.co/Ph0DUfTUMd',b'1232066075560488964',b'\\u0905\\u0939\\u092e\\u0926 \\u0916\\u093e\\u0928',b'Khan_Bhai_45',b'',b'Proud to be an Indian\\U0001f1ee\\U0001f1f3\\U0001f1ee\\U0001f1f3\\U0001f1ee\\U0001f1f3',b'646',b'739',b'0',b'2226',b'1926',b'False',b'False',b'True',b'False',b'2019-08-31 16:04:48'
